LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.77859,1.89035,T2M,1981,    4.55,    4.82,   10.52,   11.38,   14.25,   20.34,   20.97,   22.26,   19.09,   14.52,   10.98,    5.90,   13.35
41.77859,1.89035,T2M,1982,    6.77,    6.70,    7.48,   11.55,   14.69,   20.38,   24.10,   21.68,   18.77,   13.28,    9.11,    5.32,   13.36
41.77859,1.89035,T2M,1983,    6.51,    4.16,    9.12,   10.71,   14.41,   20.04,   24.54,   21.62,   20.22,   15.05,   10.95,    6.40,   13.70
41.77859,1.89035,T2M,1984,    4.68,    4.67,    6.05,   11.57,   11.77,   18.38,   23.12,   20.73,   17.81,   13.52,   10.06,    5.49,   12.34
41.77859,1.89035,T2M,1985,    0.90,    7.65,    6.91,   12.09,   13.37,   19.61,   23.93,   22.26,   21.00,   15.69,    7.45,    6.66,   13.15
41.77859,1.89035,T2M,1986,    4.25,    4.00,    8.64,    8.92,   17.31,   19.97,   22.82,   22.86,   19.87,   14.95,    9.86,    5.32,   13.29
41.77859,1.89035,T2M,1987,    3.44,    5.55,    8.03,   12.35,   14.51,   19.17,   22.40,   23.80,   21.97,   14.69,    8.48,    8.12,   13.59
41.77859,1.89035,T2M,1988,    6.44,    5.22,    8.56,   11.29,   15.34,   18.46,   22.72,   23.37,   19.62,   15.72,    9.45,    5.71,   13.52
41.77859,1.89035,T2M,1989,    5.83,    7.29,   10.66,   10.12,   16.61,   20.34,   24.32,   23.66,   18.42,   15.13,   10.36,    7.65,   14.25
41.77859,1.89035,T2M,1990,    5.99,   10.05,   10.07,   10.66,   16.68,   20.17,   23.83,   23.32,   20.35,   14.62,    8.31,    3.55,   13.99
41.77859,1.89035,T2M,1991,    4.97,    5.23,   10.11,   10.17,   13.52,   19.50,   23.89,   24.71,   20.18,   12.64,    8.19,    5.71,   13.29
41.77859,1.89035,T2M,1992,    3.86,    6.08,    9.04,   11.89,   16.58,   16.52,   22.25,   23.56,   18.81,   12.23,   11.06,    6.42,   13.22
41.77859,1.89035,T2M,1993,    6.06,    5.29,    8.64,   11.14,   15.31,   20.33,   21.98,   23.08,   17.33,   11.78,    8.37,    6.35,   13.02
41.77859,1.89035,T2M,1994,    5.18,    6.26,   11.64,   10.29,   16.54,   20.85,   25.53,   24.92,   17.91,   13.90,   11.43,    7.10,   14.35
41.77859,1.89035,T2M,1995,    4.63,    8.33,    8.41,   12.23,   15.88,   18.96,   24.10,   22.36,   16.91,   15.95,   10.10,    7.04,   13.78
41.77859,1.89035,T2M,1996,    7.02,    4.75,    8.18,   11.49,   15.04,   19.92,   22.27,   21.57,   16.78,   13.69,    8.78,    6.49,   13.03
41.77859,1.89035,T2M,1997,    5.19,    8.44,   11.56,   12.54,   15.90,   19.17,   21.51,   22.81,   19.72,   16.12,    9.67,    6.13,   14.10
41.77859,1.89035,T2M,1998,    5.71,    8.53,   10.14,   10.22,   15.68,   20.50,   23.74,   23.58,   18.79,   13.93,    7.81,    5.85,   13.74
41.77859,1.89035,T2M,1999,    5.64,    5.37,    9.05,   11.86,   17.37,   20.13,   23.15,   23.45,   19.71,   14.83,    6.77,    4.95,   13.58
41.77859,1.89035,T2M,2000,    4.39,    8.76,    9.82,   11.08,   17.39,   20.52,   21.93,   23.15,   19.44,   13.50,    7.76,    7.12,   13.76
41.77859,1.89035,T2M,2001,    5.31,    6.25,   11.35,   11.61,   16.30,   21.60,   22.71,   24.17,   18.02,   16.48,    8.08,    3.81,   13.86
41.77859,1.89035,T2M,2002,    5.89,    7.58,   10.15,   12.26,   14.77,   21.55,   22.50,   20.96,   18.15,   14.41,    9.56,    7.13,   13.78
41.77859,1.89035,T2M,2003,    4.15,    4.34,    9.77,   11.76,   16.83,   23.92,   24.63,   25.96,   18.79,   12.82,   10.11,    5.76,   14.13
41.77859,1.89035,T2M,2004,    5.75,    6.40,    7.65,   10.49,   14.31,   20.85,   22.02,   22.88,   19.42,   15.52,    8.43,    5.86,   13.32
41.77859,1.89035,T2M,2005,    4.49,    3.13,    8.07,   11.83,   17.28,   22.54,   24.00,   21.90,   18.86,   15.24,    8.54,    3.53,   13.34
41.77859,1.89035,T2M,2006,    4.54,    5.67,    9.13,   13.04,   17.49,   21.36,   25.75,   21.64,   19.86,   16.68,   11.45,    6.39,   14.47
41.77859,1.89035,T2M,2007,    6.96,    8.05,    8.66,   13.39,   16.88,   20.60,   22.85,   21.89,   19.15,   14.36,    8.51,    5.51,   13.93
41.77859,1.89035,T2M,2008,    7.24,    7.86,    8.65,   11.96,   14.96,   19.84,   22.94,   23.27,   18.61,   14.10,    7.47,    4.73,   13.49
41.77859,1.89035,T2M,2009,    4.52,    5.97,    9.41,   11.40,   18.04,   21.99,   23.79,   24.69,   19.51,   15.79,   10.42,    5.63,   14.31
41.77859,1.89035,T2M,2010,    3.72,    4.50,    7.25,   12.30,   14.81,   19.54,   24.88,   22.97,   19.03,   13.51,    7.56,    4.42,   12.93
41.77859,1.89035,T2M,2011,    5.29,    7.21,    8.72,   14.65,   17.74,   20.03,   21.66,   23.76,   20.92,   16.02,   11.32,    6.42,   14.51
41.77859,1.89035,T2M,2012,    5.93,    3.01,   10.11,   10.67,   17.16,   22.23,   22.94,   24.98,   19.43,   15.10,    9.48,    5.92,   13.96
41.77859,1.89035,T2M,2013,    5.42,    4.36,    8.37,   11.51,   13.37,   18.76,   24.06,   22.92,   19.76,   16.62,    8.22,    6.14,   13.35
41.77859,1.89035,T2M,2014,    6.45,    6.36,    9.49,   13.96,   15.37,   20.97,   22.35,   22.33,   20.59,   17.14,   11.15,    5.96,   14.38
41.77859,1.89035,T2M,2015,    5.30,    4.40,    9.48,   12.87,   17.79,   21.82,   26.05,   22.99,   18.12,   14.39,   11.21,    9.11,   14.53
41.77859,1.89035,T2M,2016,    6.88,    7.18,    7.95,   11.65,   15.18,   20.44,   24.37,   23.70,   20.51,   15.62,    9.65,    7.86,   14.27
41.77859,1.89035,T2M,2017,    4.18,    8.41,   10.98,   12.84,   17.26,   23.22,   23.94,   24.15,   18.15,   16.60,    8.96,    4.69,   14.48
41.77859,1.89035,T2M,2018,    6.88,    3.82,    7.68,   12.53,   15.40,   20.32,   24.05,   23.61,   20.70,   14.46,    9.43,    8.09,   13.98
41.77859,1.89035,T2M,2019,    4.34,    7.92,   10.06,   11.07,   14.63,   20.74,   24.67,   23.99,   19.90,   16.01,    8.22,    8.40,   14.21
41.77859,1.89035,RH2M,1981,   70.35,   69.07,   68.23,   69.36,   63.25,   55.52,   58.79,   57.76,   68.92,   67.91,   67.79,   76.60,   66.11
41.77859,1.89035,RH2M,1982,   76.84,   81.65,   70.12,   66.04,   66.74,   60.86,   53.74,   63.57,   65.55,   70.82,   78.15,   78.96,   69.34
41.77859,1.89035,RH2M,1983,   63.10,   74.71,   66.33,   62.92,   60.53,   56.25,   47.53,   61.12,   58.91,   66.89,   84.60,   72.89,   64.55
41.77859,1.89035,RH2M,1984,   75.50,   71.08,   69.09,   63.12,   67.86,   60.66,   51.97,   60.26,   60.59,   69.01,   81.58,   74.85,   67.12
41.77859,1.89035,RH2M,1985,   75.28,   74.77,   63.35,   61.55,   67.25,   62.12,   53.37,   55.17,   57.79,   69.08,   71.45,   73.31,   65.32
41.77859,1.89035,RH2M,1986,   74.45,   76.80,   68.17,   68.25,   57.02,   53.81,   49.86,   53.48,   65.94,   73.98,   72.29,   72.53,   65.46
41.77859,1.89035,RH2M,1987,   77.10,   74.53,   69.49,   65.37,   59.42,   55.82,   59.60,   54.93,   60.91,   77.75,   74.67,   81.48,   67.57
41.77859,1.89035,RH2M,1988,   86.25,   70.67,   62.30,   72.92,   70.36,   65.70,   56.74,   55.76,   59.12,   70.04,   74.28,   66.90,   67.56
41.77859,1.89035,RH2M,1989,   76.15,   66.66,   62.07,   62.69,   57.36,   54.81,   48.85,   59.66,   66.18,   67.45,   81.98,   86.52,   65.85
41.77859,1.89035,RH2M,1990,   73.85,   71.56,   57.32,   63.16,   60.21,   63.06,   50.76,   57.56,   67.36,   72.58,   75.84,   72.99,   65.45
41.77859,1.89035,RH2M,1991,   76.00,   74.47,   74.10,   60.56,   56.29,   57.89,   49.49,   53.24,   66.68,   69.11,   73.63,   76.32,   65.59
41.77859,1.89035,RH2M,1992,   77.92,   70.40,   63.83,   57.31,   64.04,   65.64,   61.10,   61.23,   68.79,   75.08,   71.62,   81.52,   68.22
41.77859,1.89035,RH2M,1993,   71.47,   70.74,   68.31,   65.64,   66.27,   57.14,   54.24,   55.65,   66.35,   74.36,   80.77,   78.87,   67.46
41.77859,1.89035,RH2M,1994,   71.66,   71.42,   64.05,   59.45,   61.73,   48.57,   47.02,   53.00,   63.64,   78.06,   77.37,   75.84,   64.28
41.77859,1.89035,RH2M,1995,   72.89,   69.01,   59.15,   57.44,   57.97,   59.62,   51.47,   58.20,   65.03,   75.10,   70.60,   83.38,   64.98
41.77859,1.89035,RH2M,1996,   86.78,   69.44,   71.01,   67.43,   62.90,   59.17,   55.34,   64.04,   62.37,   67.32,   79.70,   85.26,   69.25
41.77859,1.89035,RH2M,1997,   86.76,   72.40,   60.83,   61.55,   62.17,   63.50,   58.92,   62.66,   64.21,   65.58,   78.93,   76.37,   67.80
41.77859,1.89035,RH2M,1998,   80.20,   67.75,   62.85,   62.65,   60.28,   56.66,   51.53,   52.80,   62.26,   63.12,   64.77,   71.07,   62.97
41.77859,1.89035,RH2M,1999,   73.19,   64.11,   65.21,   59.77,   62.67,   58.01,   55.71,   60.10,   63.98,   68.49,   70.72,   73.34,   64.63
41.77859,1.89035,RH2M,2000,   71.16,   66.32,   61.35,   65.98,   63.40,   57.50,   53.39,   52.79,   61.57,   72.31,   77.14,   80.17,   65.25
41.77859,1.89035,RH2M,2001,   84.04,   69.46,   68.47,   60.13,   60.49,   49.73,   54.77,   54.78,   63.12,   70.89,   67.61,   71.80,   64.62
41.77859,1.89035,RH2M,2002,   74.79,   64.89,   66.45,   64.50,   62.96,   51.63,   56.06,   62.57,   65.66,   73.77,   75.65,   81.80,   66.77
41.77859,1.89035,RH2M,2003,   71.54,   77.15,   68.25,   64.96,   61.68,   52.65,   51.47,   48.10,   66.46,   76.97,   78.56,   79.61,   66.37
41.77859,1.89035,RH2M,2004,   74.68,   72.00,   70.00,   69.39,   66.73,   61.07,   59.40,   61.67,   67.48,   70.44,   67.97,   75.77,   68.05
41.77859,1.89035,RH2M,2005,   62.94,   64.54,   64.94,   60.27,   55.89,   52.48,   52.65,   58.81,   63.50,   78.83,   75.53,   72.79,   63.60
41.77859,1.89035,RH2M,2006,   81.79,   70.87,   69.79,   65.13,   57.25,   50.42,   50.11,   54.71,   68.50,   73.84,   75.65,   72.06,   65.81
41.77859,1.89035,RH2M,2007,   71.04,   70.64,   58.72,   66.46,   55.31,   55.09,   52.20,   58.22,   61.47,   67.11,   59.76,   69.60,   62.08
41.77859,1.89035,RH2M,2008,   71.11,   74.61,   60.88,   60.64,   67.94,   58.29,   57.50,   57.13,   63.84,   71.05,   72.12,   75.90,   65.89
41.77859,1.89035,RH2M,2009,   76.78,   70.62,   61.41,   66.85,   54.96,   52.58,   54.77,   53.76,   59.65,   63.12,   69.42,   75.42,   63.23
41.77859,1.89035,RH2M,2010,   75.22,   73.21,   65.67,   61.40,   58.79,   57.62,   52.69,   56.91,   64.01,   68.63,   71.93,   75.05,   65.04
41.77859,1.89035,RH2M,2011,   74.06,   64.85,   71.42,   61.30,   59.27,   58.82,   58.88,   56.12,   59.84,   62.25,   82.08,   71.02,   64.99
41.77859,1.89035,RH2M,2012,   68.24,   55.48,   54.92,   64.61,   57.37,   52.79,   53.37,   51.22,   58.33,   71.40,   77.03,   72.91,   61.49
41.77859,1.89035,RH2M,2013,   67.94,   68.69,   72.01,   64.54,   63.71,   59.85,   55.85,   58.86,   63.01,   70.93,   64.83,   69.21,   64.94
41.77859,1.89035,RH2M,2014,   75.69,   71.97,   59.70,   61.22,   58.05,   52.88,   54.54,   63.58,   68.89,   67.50,   79.93,   72.08,   65.45
41.77859,1.89035,RH2M,2015,   70.60,   65.76,   67.14,   61.63,   53.70,   54.12,   51.91,   61.12,   66.27,   73.25,   65.66,   75.19,   63.87
41.77859,1.89035,RH2M,2016,   77.93,   67.62,   65.33,   65.01,   61.82,   55.22,   51.11,   53.36,   60.65,   74.79,   76.97,   72.95,   65.23
41.77859,1.89035,RH2M,2017,   72.06,   74.07,   64.49,   58.84,   58.16,   52.81,   54.55,   56.14,   66.43,   69.30,   63.11,   73.10,   63.54
