LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.67563,-3.72645,T2M,1981,    1.73,    2.07,    7.17,    7.79,   10.93,   17.27,   18.63,   19.90,   16.64,   11.28,    8.26,    3.99,   10.52
41.67563,-3.72645,T2M,1982,    3.79,    4.17,    5.44,    8.52,   12.81,   17.38,   20.84,   19.16,   15.80,    9.56,    5.50,    2.77,   10.52
41.67563,-3.72645,T2M,1983,    2.36,    1.62,    6.81,    6.96,    9.71,   17.51,   21.25,   17.84,   17.93,   12.39,    8.71,    3.50,   10.60
41.67563,-3.72645,T2M,1984,    2.30,    1.86,    3.03,   10.88,    7.60,   15.63,   20.71,   18.13,   15.02,   10.55,    6.18,    2.69,    9.56
41.67563,-3.72645,T2M,1985,   -0.80,    5.42,    3.93,    9.11,   10.84,   17.04,   21.64,   19.94,   19.78,   13.34,    4.48,    4.01,   10.75
41.67563,-3.72645,T2M,1986,    1.92,    2.60,    5.67,    4.74,   14.32,   17.82,   21.25,   19.58,   17.42,   12.22,    5.85,    2.88,   10.58
41.67563,-3.72645,T2M,1987,    1.24,    3.15,    6.71,   10.24,   12.24,   17.06,   19.67,   22.20,   20.19,   10.35,    5.82,    4.72,   11.17
41.67563,-3.72645,T2M,1988,    3.96,    3.23,    5.88,    8.30,   11.84,   14.46,   18.26,   20.07,   16.88,   11.62,    6.54,    2.16,   10.29
41.67563,-3.72645,T2M,1989,    2.25,    4.04,    7.69,    6.15,   14.72,   17.72,   22.24,   21.30,   15.52,   12.61,    7.90,    6.08,   11.58
41.67563,-3.72645,T2M,1990,    1.90,    6.58,    6.61,    6.90,   14.01,   18.02,   22.00,   21.58,   18.44,   11.11,    4.96,    0.75,   11.10
41.67563,-3.72645,T2M,1991,    1.03,    1.45,    6.17,    6.94,   10.68,   17.16,   21.02,   22.52,   18.04,    8.44,    5.08,    2.20,   10.11
41.67563,-3.72645,T2M,1992,    0.10,    2.75,    5.86,    8.77,   14.69,   13.03,   21.35,   21.36,   15.98,    8.46,    7.53,    3.51,   10.31
41.67563,-3.72645,T2M,1993,    2.54,    2.24,    5.76,    7.40,   11.74,   16.89,   19.21,   20.48,   13.42,    8.03,    4.73,    4.07,    9.76
41.67563,-3.72645,T2M,1994,    2.49,    3.35,    8.72,    7.25,   12.65,   17.34,   22.89,   21.35,   13.63,   11.31,    7.62,    3.96,   11.11
41.67563,-3.72645,T2M,1995,    3.36,    5.11,    6.17,    9.46,   14.11,   17.38,   21.46,   20.14,   13.61,   13.46,    7.84,    3.92,   11.38
41.67563,-3.72645,T2M,1996,    3.91,    1.64,    5.27,    9.01,   11.54,   17.41,   20.00,   18.66,   14.16,   10.54,    6.13,    3.36,   10.16
41.67563,-3.72645,T2M,1997,    2.08,    5.98,    9.16,   10.78,   12.91,   14.74,   17.62,   20.51,   17.72,   12.79,    6.34,    3.31,   11.19
41.67563,-3.72645,T2M,1998,    3.14,    5.58,    7.65,    6.55,   11.60,   16.83,   19.45,   20.62,   15.99,    9.74,    5.19,    2.16,   10.40
41.67563,-3.72645,T2M,1999,    1.48,    2.31,    5.89,    8.42,   13.59,   17.07,   20.97,   20.01,   16.18,   11.05,    3.49,    2.66,   10.31
41.67563,-3.72645,T2M,2000,    0.08,    5.76,    6.45,    6.99,   13.99,   18.02,   18.73,   19.62,   17.06,   10.30,    5.06,    4.17,   10.53
41.67563,-3.72645,T2M,2001,    3.36,    3.53,    8.20,    7.92,   12.26,   17.88,   18.79,   20.33,   14.58,   12.51,    3.29,    0.07,   10.27
41.67563,-3.72645,T2M,2002,    2.95,    3.80,    6.83,    9.18,   11.71,   18.79,   19.51,   18.57,   15.50,   11.48,    6.35,    4.89,   10.83
41.67563,-3.72645,T2M,2003,    1.73,    2.12,    7.83,    8.75,   13.08,   20.33,   20.79,   23.30,   16.92,    9.93,    6.68,    2.83,   11.24
41.67563,-3.72645,T2M,2004,    3.99,    3.09,    4.64,    7.48,   11.50,   18.88,   19.97,   19.35,   17.26,   11.91,    5.54,    2.59,   10.54
41.67563,-3.72645,T2M,2005,    1.49,    0.42,    6.00,    9.27,   14.30,   20.67,   21.17,   20.45,   16.29,   11.82,    4.57,    1.81,   10.75
41.67563,-3.72645,T2M,2006,    1.18,    1.84,    7.01,   10.02,   14.73,   19.23,   23.01,   18.60,   17.99,   13.53,    8.49,    2.66,   11.58
41.67563,-3.72645,T2M,2007,    2.76,    5.12,    5.12,    9.74,   12.19,   15.70,   18.99,   18.34,   15.93,   10.94,    4.73,    2.02,   10.16
41.67563,-3.72645,T2M,2008,    4.21,    5.44,    5.68,    9.27,   11.71,   16.10,   19.10,   19.89,   15.07,   10.16,    4.09,    2.26,   10.26
41.67563,-3.72645,T2M,2009,    1.53,    3.12,    6.87,    7.57,   14.30,   18.27,   20.92,   22.06,   16.75,   12.96,    7.39,    2.60,   11.25
41.67563,-3.72645,T2M,2010,    1.39,    2.10,    4.72,   10.03,   11.19,   15.73,   21.41,   20.41,   16.42,   10.19,    4.60,    2.07,   10.07
41.67563,-3.72645,T2M,2011,    2.32,    4.14,    5.88,   12.14,   14.96,   17.13,   18.37,   20.90,   18.27,   13.04,    7.81,    3.23,   11.55
41.67563,-3.72645,T2M,2012,    2.91,    0.81,    7.30,    6.62,   14.31,   19.02,   20.24,   21.67,   16.74,   11.08,    5.64,    3.35,   10.85
41.67563,-3.72645,T2M,2013,    2.65,    2.12,    5.08,    7.82,    9.47,   15.04,   21.62,   20.18,   17.36,   12.01,    5.14,    2.58,   10.14
41.67563,-3.72645,T2M,2014,    3.98,    3.21,    6.80,   11.63,   12.54,   17.46,   18.97,   20.00,   17.80,   14.42,    7.38,    2.88,   11.47
41.67563,-3.72645,T2M,2015,    1.70,    1.64,    6.55,   10.34,   14.15,   18.68,   23.27,   20.60,   15.25,   11.66,    8.35,    5.73,   11.56
41.67563,-3.72645,T2M,2016,    4.72,    3.95,    4.11,    7.52,   11.95,   17.40,   21.42,   21.45,   17.99,   13.00,    5.78,    4.70,   11.20
41.67563,-3.72645,T2M,2017,    1.59,    5.35,    7.97,   11.03,   15.57,   21.17,   21.34,   21.27,   15.95,   14.29,    5.90,    2.86,   12.06
41.67563,-3.72645,T2M,2018,    2.81,    1.51,    4.50,    9.69,   12.42,   16.94,   20.13,   21.50,   19.39,   11.17,    6.51,    5.05,   11.02
41.67563,-3.72645,T2M,2019,    1.85,    5.28,    7.34,    8.53,   12.65,   18.42,   22.40,   21.49,   16.33,   12.52,    5.81,    5.35,   11.54
41.67563,-3.72645,RH2M,1981,   83.24,   73.62,   72.12,   69.37,   63.91,   53.55,   52.41,   51.02,   55.92,   70.38,   66.80,   89.01,   66.78
41.67563,-3.72645,RH2M,1982,   88.05,   78.71,   69.67,   66.42,   61.30,   56.72,   44.25,   50.22,   59.06,   76.64,   82.03,   87.95,   68.36
41.67563,-3.72645,RH2M,1983,   76.05,   78.69,   70.26,   68.56,   68.14,   53.53,   45.60,   62.63,   52.63,   61.36,   84.31,   77.10,   66.49
41.67563,-3.72645,RH2M,1984,   89.16,   76.49,   72.38,   65.62,   72.70,   64.20,   42.94,   52.29,   56.74,   69.37,   86.69,   88.48,   69.73
41.67563,-3.72645,RH2M,1985,   87.19,   80.56,   75.38,   69.80,   68.74,   61.49,   49.09,   44.24,   45.33,   55.42,   79.84,   79.57,   66.30
41.67563,-3.72645,RH2M,1986,   89.04,   83.61,   70.80,   71.19,   58.33,   47.42,   40.39,   42.89,   62.21,   72.84,   77.35,   86.68,   66.78
41.67563,-3.72645,RH2M,1987,   84.26,   83.31,   70.59,   66.82,   55.53,   52.50,   55.96,   43.26,   49.34,   74.65,   85.22,   87.30,   67.31
41.67563,-3.72645,RH2M,1988,   89.82,   77.43,   67.41,   74.96,   71.20,   69.19,   60.29,   48.01,   49.46,   67.51,   76.28,   81.96,   69.44
41.67563,-3.72645,RH2M,1989,   73.67,   71.09,   64.37,   71.27,   57.23,   54.03,   41.72,   43.91,   55.49,   60.72,   82.42,   89.29,   63.68
41.67563,-3.72645,RH2M,1990,   83.35,   80.11,   64.77,   72.79,   59.91,   54.41,   40.02,   40.93,   52.40,   71.10,   83.65,   83.57,   65.46
41.67563,-3.72645,RH2M,1991,   82.66,   82.16,   78.07,   67.25,   62.96,   52.01,   43.94,   39.52,   55.55,   72.50,   80.76,   83.06,   66.61
41.67563,-3.72645,RH2M,1992,   80.90,   66.45,   65.34,   61.19,   52.73,   63.94,   44.06,   42.65,   52.37,   78.54,   77.75,   87.76,   64.47
41.67563,-3.72645,RH2M,1993,   74.44,   75.09,   66.14,   65.62,   64.54,   58.06,   48.33,   44.24,   63.42,   79.71,   79.23,   91.65,   67.49
41.67563,-3.72645,RH2M,1994,   84.74,   78.90,   66.14,   64.87,   63.73,   50.75,   39.69,   43.20,   60.16,   72.56,   80.05,   88.41,   66.02
