LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.17405,-0.52673,T2M,1981,    6.35,    6.79,   13.06,   12.51,   16.77,   22.68,   23.65,   23.84,   22.19,   17.23,   12.86,    8.81,   15.61
39.17405,-0.52673,T2M,1982,    8.68,    8.43,   10.50,   12.94,   17.18,   23.40,   26.88,   24.51,   20.51,   15.63,   10.58,    7.13,   15.57
39.17405,-0.52673,T2M,1983,    7.56,    6.52,   11.72,   13.25,   17.50,   22.46,   26.57,   23.58,   23.05,   17.46,   12.83,    8.15,   15.94
39.17405,-0.52673,T2M,1984,    6.89,    7.28,    7.79,   13.82,   13.57,   20.73,   26.14,   23.35,   20.89,   15.20,   11.46,    7.46,   14.56
39.17405,-0.52673,T2M,1985,    4.42,    9.92,    9.22,   14.30,   15.35,   22.52,   25.93,   25.46,   22.73,   17.44,   10.32,    8.10,   15.50
39.17405,-0.52673,T2M,1986,    6.54,    7.10,   10.54,   10.85,   19.39,   22.29,   25.29,   25.78,   22.01,   15.81,   11.10,    7.08,   15.37
39.17405,-0.52673,T2M,1987,    6.28,    7.92,   11.16,   14.49,   17.40,   22.36,   24.36,   25.51,   24.03,   15.94,   10.27,    9.13,   15.78
39.17405,-0.52673,T2M,1988,    8.43,    7.51,   11.29,   13.55,   17.26,   19.99,   24.71,   25.90,   21.48,   16.93,   11.24,    6.92,   15.47
39.17405,-0.52673,T2M,1989,    6.88,    8.97,   11.80,   11.89,   17.62,   22.07,   26.37,   26.75,   19.88,   16.20,   12.29,   10.31,   15.97
39.17405,-0.52673,T2M,1990,    6.85,   11.21,   10.75,   11.79,   17.31,   22.93,   25.79,   25.36,   22.85,   16.02,   10.38,    6.12,   15.63
39.17405,-0.52673,T2M,1991,    6.32,    6.44,   10.93,   11.88,   15.01,   22.09,   25.81,   26.84,   22.44,   13.91,    9.89,    7.19,   14.95
39.17405,-0.52673,T2M,1992,    4.88,    7.28,   10.11,   14.12,   18.21,   18.20,   24.35,   26.09,   21.24,   14.34,   12.36,    8.29,   14.98
39.17405,-0.52673,T2M,1993,    6.77,    7.00,   10.01,   13.15,   17.07,   22.11,   24.17,   25.16,   19.77,   13.45,    9.45,    8.28,   14.75
39.17405,-0.52673,T2M,1994,    6.80,    8.31,   12.79,   12.84,   19.35,   22.75,   27.52,   27.44,   20.29,   15.85,   12.87,    8.52,   16.33
39.17405,-0.52673,T2M,1995,    7.25,   10.43,   10.78,   13.76,   18.67,   20.99,   25.86,   24.61,   19.46,   17.36,   12.75,    9.43,   15.98
39.17405,-0.52673,T2M,1996,    8.63,    6.95,   10.17,   13.96,   17.16,   22.11,   24.66,   24.40,   18.55,   15.70,   11.27,    8.01,   15.16
39.17405,-0.52673,T2M,1997,    7.27,   10.25,   12.56,   14.50,   17.88,   21.76,   23.22,   24.54,   21.51,   17.75,   11.49,    8.23,   15.94
39.17405,-0.52673,T2M,1998,    7.73,    9.39,   12.40,   12.87,   15.94,   22.41,   25.99,   25.27,   21.73,   15.79,   10.75,    7.08,   15.65
39.17405,-0.52673,T2M,1999,    6.92,    7.35,   10.48,   14.63,   19.87,   22.69,   26.02,   26.66,   21.28,   16.23,    8.86,    7.52,   15.77
39.17405,-0.52673,T2M,2000,    5.49,   10.81,   11.74,   12.81,   18.86,   22.91,   25.44,   25.56,   21.78,   15.88,    9.55,    8.54,   15.80
39.17405,-0.52673,T2M,2001,    8.09,    8.20,   13.75,   14.56,   17.61,   24.57,   25.32,   26.23,   20.82,   18.11,    9.02,    5.97,   16.07
39.17405,-0.52673,T2M,2002,    7.59,    9.33,   11.44,   13.79,   16.31,   22.72,   24.45,   23.76,   20.84,   16.33,   11.49,    9.17,   15.63
