LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.32856,-2.46748,T2M,1981,    2.97,    2.71,    8.05,    8.49,   11.70,   16.67,   17.77,   18.78,   16.69,   11.84,    8.42,    4.68,   10.78
42.32856,-2.46748,T2M,1982,    4.63,    4.59,    5.67,    8.48,   12.79,   17.97,   20.54,   17.95,   16.07,   10.27,    6.42,    3.59,   10.78
42.32856,-2.46748,T2M,1983,    3.69,    2.18,    6.96,    7.93,   10.87,   17.21,   21.24,   17.87,   17.48,   12.52,    9.26,    4.19,   11.00
42.32856,-2.46748,T2M,1984,    3.30,    2.16,    3.52,   10.23,    8.20,   15.47,   20.28,   17.84,   14.68,   10.99,    7.23,    3.22,    9.78
42.32856,-2.46748,T2M,1985,   -0.88,    5.87,    4.23,    9.48,   10.76,   16.50,   20.62,   18.90,   18.49,   13.43,    4.42,    4.52,   10.55
42.32856,-2.46748,T2M,1986,    3.22,    2.87,    6.16,    5.13,   14.54,   17.17,   19.50,   19.29,   17.15,   12.56,    6.40,    3.94,   10.72
42.32856,-2.46748,T2M,1987,    1.37,    3.84,    6.74,   11.01,   11.68,   16.37,   18.80,   21.19,   20.02,   11.57,    6.66,    5.17,   11.24
42.32856,-2.46748,T2M,1988,    4.94,    3.63,    6.08,    9.00,   12.69,   14.64,   18.20,   19.64,   16.79,   12.54,    7.14,    2.99,   10.71
42.32856,-2.46748,T2M,1989,    2.78,    5.05,    8.23,    6.73,   14.79,   17.58,   21.07,   20.76,   15.80,   12.82,    8.45,    6.61,   11.77
42.32856,-2.46748,T2M,1990,    3.43,    8.13,    7.33,    7.78,   15.02,   17.77,   21.64,   21.19,   18.44,   12.20,    6.06,    1.25,   11.71
42.32856,-2.46748,T2M,1991,    2.22,    2.66,    7.46,    7.00,   10.46,   16.60,   20.77,   22.54,   18.19,    9.13,    5.96,    3.10,   10.56
42.32856,-2.46748,T2M,1992,    0.76,    3.32,    5.89,    9.05,   14.83,   13.41,   20.14,   21.38,   16.16,    9.02,    8.75,    4.27,   10.61
42.32856,-2.46748,T2M,1993,    3.70,    2.72,    6.32,    8.46,   12.79,   17.23,   18.21,   20.04,   14.23,    8.76,    5.39,    5.14,   10.30
42.32856,-2.46748,T2M,1994,    3.03,    4.49,    9.24,    7.50,   13.87,   17.08,   22.35,   21.37,   14.32,   11.64,    8.59,    4.91,   11.59
42.32856,-2.46748,T2M,1995,    3.96,    6.16,    6.25,    9.16,   13.78,   16.36,   21.51,   19.43,   13.67,   13.99,    7.98,    4.47,   11.43
42.32856,-2.46748,T2M,1996,    4.70,    2.24,    5.92,    9.25,   12.41,   17.50,   19.39,   18.11,   14.19,   11.14,    7.07,    3.62,   10.49
42.32856,-2.46748,T2M,1997,    3.24,    7.13,    9.18,   10.52,   13.90,   15.40,   16.92,   20.23,   17.11,   13.34,    6.98,    4.07,   11.53
42.32856,-2.46748,T2M,1998,    3.70,    5.99,    7.92,    7.63,   12.24,   16.98,   18.96,   19.73,   16.46,   10.56,    5.65,    3.23,   10.78
42.32856,-2.46748,T2M,1999,    2.80,    2.98,    6.49,    9.05,   14.56,   16.29,   19.74,   20.01,   17.02,   11.70,    4.17,    3.70,   10.76
42.32856,-2.46748,T2M,2000,    1.00,    6.29,    6.77,    8.42,   14.62,   18.08,   18.97,   19.88,   17.38,   10.88,    5.79,    5.07,   11.11
42.32856,-2.46748,T2M,2001,    4.15,    4.26,    9.31,    8.52,   12.92,   17.92,   18.97,   20.53,   14.53,   13.61,    4.04,    0.94,   10.86
42.32856,-2.46748,T2M,2002,    4.05,    5.15,    7.54,    9.34,   12.31,   18.15,   18.81,   18.15,   15.57,   12.19,    7.25,    5.67,   11.22
42.32856,-2.46748,T2M,2003,    2.50,    2.58,    8.41,    9.61,   13.36,   21.16,   21.21,   23.55,   16.37,   10.37,    7.63,    3.97,   11.78
42.32856,-2.46748,T2M,2004,    4.71,    3.43,    4.87,    7.63,   11.76,   18.46,   19.15,   20.02,   17.12,   12.84,    5.92,    3.68,   10.82
42.32856,-2.46748,T2M,2005,    2.53,    0.76,    6.42,    9.96,   14.66,   20.29,   20.57,   19.40,   16.09,   12.84,    5.40,    2.15,   10.99
42.32856,-2.46748,T2M,2006,    1.88,    2.35,    7.86,   10.30,   14.73,   18.83,   22.57,   17.69,   18.03,   14.37,    9.20,    3.36,   11.82
42.32856,-2.46748,T2M,2007,    3.83,    6.08,    5.81,   10.43,   12.75,   16.48,   18.91,   17.92,   15.16,   11.15,    4.71,    3.10,   10.55
42.32856,-2.46748,T2M,2008,    4.81,    5.99,    6.29,    9.63,   12.69,   15.81,   18.81,   19.32,   15.21,   10.50,    4.90,    3.17,   10.61
42.32856,-2.46748,T2M,2009,    2.31,    3.46,    6.44,    8.05,   14.44,   18.20,   20.60,   20.94,   16.02,   12.84,    7.95,    2.64,   11.21
42.32856,-2.46748,T2M,2010,    1.75,    2.34,    5.31,   10.32,   11.16,   15.56,   20.55,   19.53,   16.13,   10.79,    5.38,    2.29,   10.14
42.32856,-2.46748,T2M,2011,    2.99,    5.16,    6.30,   12.16,   14.91,   16.57,   17.71,   20.97,   18.37,   12.80,    8.76,    4.76,   11.82
42.32856,-2.46748,T2M,2012,    3.80,    0.57,    7.78,    7.65,   14.52,   19.01,   19.18,   21.99,   16.62,   12.02,    6.36,    4.19,   11.19
42.32856,-2.46748,T2M,2013,    3.92,    2.76,    6.16,    8.22,    9.22,   14.19,   20.60,   18.60,   16.54,   13.01,    5.72,    3.50,   10.25
42.32856,-2.46748,T2M,2014,    4.86,    4.12,    7.12,   11.64,   11.97,   17.24,   18.05,   19.07,   18.21,   15.05,    8.29,    3.78,   11.65
42.32856,-2.46748,T2M,2015,    2.86,    1.91,    6.44,   10.31,   14.07,   18.06,   21.92,   20.09,   14.66,   12.00,    9.31,    6.71,   11.59
42.32856,-2.46748,T2M,2016,    5.52,    4.76,    4.96,    7.95,   12.59,   16.90,   20.24,   20.50,   18.14,   12.96,    6.39,    5.25,   11.37
42.32856,-2.46748,T2M,2017,    1.80,    6.12,    8.71,   10.45,   15.58,   20.04,   20.25,   20.38,   15.39,   14.06,    6.31,    3.46,   11.91
42.32856,-2.46748,T2M,2018,    3.82,    1.79,    5.33,   10.20,   12.26,   16.62,   20.22,   20.38,   18.44,   11.30,    7.15,    5.97,   11.18
42.32856,-2.46748,T2M,2019,    2.38,    5.94,    7.60,    8.99,   11.87,   18.48,   21.43,   21.04,   16.64,   13.43,    6.49,    6.26,   11.75
42.32856,-2.46748,RH2M,1981,   84.04,   75.34,   70.27,   73.10,   64.13,   59.81,   61.54,   61.99,   61.52,   71.30,   70.46,   84.46,   69.82
42.32856,-2.46748,RH2M,1982,   86.87,   80.65,   73.11,   69.63,   65.59,   59.52,   53.06,   61.58,   63.20,   77.01,   80.17,   86.91,   71.40
42.32856,-2.46748,RH2M,1983,   73.97,   79.93,   73.84,   66.68,   65.97,   59.05,   55.42,   67.75,   60.10,   65.50,   83.70,   75.50,   68.88
42.32856,-2.46748,RH2M,1984,   83.82,   80.18,   74.33,   66.92,   73.43,   65.97,   49.51,   59.68,   63.73,   71.67,   83.50,   87.15,   71.63
42.32856,-2.46748,RH2M,1985,   87.32,   77.73,   75.72,   68.61,   73.72,   65.54,   58.48,   55.21,   53.79,   62.86,   79.09,   76.40,   69.50
