LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.0884,0.09941,T2M,1981,    1.99,    1.42,    7.33,    8.62,   11.22,   18.07,   18.66,   19.93,   16.55,   10.91,    8.10,    2.51,   10.49
42.0884,0.09941,T2M,1982,    3.74,    3.97,    4.28,    8.93,   12.70,   17.97,   21.69,   18.83,   15.67,    9.71,    5.71,    1.93,   10.46
42.0884,0.09941,T2M,1983,    3.41,    0.85,    6.08,    7.11,   11.12,   17.70,   22.17,   18.70,   17.40,   12.09,    8.20,    3.21,   10.73
42.0884,0.09941,T2M,1984,    1.59,    1.41,    2.68,    9.28,    8.48,   16.04,   20.99,   18.13,   14.47,   10.53,    6.79,    2.05,    9.39
42.0884,0.09941,T2M,1985,   -3.31,    4.96,    3.02,    9.16,   10.69,   17.27,   21.67,   19.99,   18.59,   12.93,    3.90,    3.39,   10.21
42.0884,0.09941,T2M,1986,    1.23,    0.41,    5.64,    5.44,   14.74,   17.79,   20.63,   20.13,   17.42,   12.28,    6.56,    2.50,   10.46
42.0884,0.09941,T2M,1987,   -0.10,    2.78,    5.56,    9.98,   11.93,   16.91,   20.15,   21.75,   19.45,   11.19,    5.24,    5.07,   10.87
42.0884,0.09941,T2M,1988,    3.60,    2.17,    5.13,    8.37,   12.65,   15.61,   19.83,   20.48,   16.72,   12.65,    6.82,    2.84,   10.60
42.0884,0.09941,T2M,1989,    2.84,    4.20,    8.07,    6.57,   14.72,   18.28,   22.33,   21.15,   15.65,   12.25,    7.31,    4.88,   11.58
42.0884,0.09941,T2M,1990,    3.17,    7.12,    7.28,    7.46,   14.54,   17.88,   22.16,   21.38,   17.82,   11.61,    5.01,    0.42,   11.35
42.0884,0.09941,T2M,1991,    1.70,    1.87,    7.36,    7.31,   11.12,   17.66,   21.82,   23.13,   17.60,    9.20,    5.00,    2.95,   10.62
42.0884,0.09941,T2M,1992,    0.65,    3.45,    6.00,    8.84,   14.48,   13.78,   20.56,   21.41,   16.20,    8.59,    7.96,    3.38,   10.47
42.0884,0.09941,T2M,1993,    3.27,    2.31,    6.04,    8.07,   12.72,   18.02,   19.76,   20.71,   14.22,    8.23,    5.28,    3.46,   10.23
42.0884,0.09941,T2M,1994,    1.61,    3.16,    9.12,    7.05,   13.86,   18.21,   23.37,   22.29,   14.28,   10.88,    8.22,    3.89,   11.39
42.0884,0.09941,T2M,1995,    1.38,    5.36,    5.35,    9.40,   13.10,   17.20,   22.10,   20.04,   13.94,   13.47,    7.17,    3.73,   11.06
42.0884,0.09941,T2M,1996,    3.74,    1.01,    5.23,    8.64,   12.30,   17.56,   20.04,   18.85,   13.89,   10.64,    5.59,    3.14,   10.09
42.0884,0.09941,T2M,1997,    1.99,    5.97,    9.29,   10.30,   13.42,   15.96,   18.63,   20.10,   17.50,   13.09,    6.08,    3.16,   11.32
42.0884,0.09941,T2M,1998,    2.51,    5.70,    7.27,    6.60,   12.78,   18.11,   20.89,   20.88,   15.81,   10.22,    4.36,    2.50,   10.67
42.0884,0.09941,T2M,1999,    1.88,    2.04,    5.63,    8.48,   14.40,   17.26,   20.63,   20.38,   16.33,   11.29,    3.20,    2.09,   10.36
42.0884,0.09941,T2M,2000,    1.07,    5.94,    6.80,    7.72,   14.69,   18.01,   18.83,   20.16,   16.55,   10.16,    4.26,    3.88,   10.69
42.0884,0.09941,T2M,2001,    2.25,    2.99,    8.01,    8.27,   13.42,   18.67,   19.67,   21.19,   14.63,   13.20,    4.03,    0.83,   10.65
42.0884,0.09941,T2M,2002,    2.92,    4.28,    7.25,    9.35,   11.95,   18.75,   19.82,   18.37,   15.14,   11.40,    6.24,    4.09,   10.83
42.0884,0.09941,T2M,2003,    0.82,    0.80,    7.50,    9.17,   13.71,   21.58,   21.92,   23.46,   15.98,    9.81,    7.29,    2.71,   11.29
42.0884,0.09941,T2M,2004,    2.71,    3.30,    4.55,    7.41,   11.86,   19.11,   19.71,   20.13,   16.85,   12.17,    4.92,    2.92,   10.49
42.0884,0.09941,T2M,2005,    1.61,   -0.71,    5.14,    9.00,   14.65,   20.45,   21.51,   19.29,   16.06,   12.32,    5.06,   -0.04,   10.43
42.0884,0.09941,T2M,2006,    0.81,    2.34,    6.41,   10.24,   15.14,   19.26,   23.21,   18.15,   17.19,   13.56,    8.29,    3.11,   11.53
42.0884,0.09941,T2M,2007,    3.84,    4.88,    5.22,   10.66,   13.38,   17.33,   19.71,   18.98,   15.83,   11.17,    5.00,    2.41,   10.73
42.0884,0.09941,T2M,2008,    4.16,    5.01,    5.27,    8.74,   12.39,   16.66,   20.06,   20.37,   15.34,   10.72,    3.57,    1.49,   10.34
42.0884,0.09941,T2M,2009,    1.14,    2.59,    6.58,    7.91,   14.89,   19.14,   21.16,   21.66,   16.44,   12.49,    6.74,    1.96,   11.11
