LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.32624,-4.83805,T2M,1981,    4.20,    5.45,   10.93,   11.09,   15.04,   23.73,   25.34,   25.32,   21.65,   15.82,   12.16,    7.40,   14.90
39.32624,-4.83805,T2M,1982,    6.58,    6.78,    9.34,   12.40,   17.50,   22.47,   24.56,   25.41,   20.28,   13.27,    8.50,    4.78,   14.37
39.32624,-4.83805,T2M,1983,    5.02,    4.63,   10.85,   10.99,   13.95,   23.18,   24.71,   23.65,   23.53,   16.79,   11.50,    6.07,   14.62
39.32624,-4.83805,T2M,1984,    4.85,    5.03,    5.90,   13.72,   11.33,   19.95,   26.03,   24.83,   21.72,   14.83,    9.41,    6.13,   13.66
39.32624,-4.83805,T2M,1985,    3.33,    8.59,    7.27,   12.67,   14.53,   22.09,   27.12,   26.35,   25.19,   18.26,    8.87,    6.54,   15.10
39.32624,-4.83805,T2M,1986,    4.79,    6.06,    9.12,    8.48,   18.64,   22.72,   27.40,   24.71,   21.03,   15.87,    9.40,    5.78,   14.56
39.32624,-4.83805,T2M,1987,    4.82,    6.66,   10.96,   13.61,   17.54,   23.35,   24.44,   25.94,   23.91,   13.19,    8.44,    7.58,   15.08
39.32624,-4.83805,T2M,1988,    6.58,    5.85,    9.19,   11.76,   15.10,   18.46,   24.32,   26.32,   22.51,   15.64,    9.83,    4.27,   14.18
39.32624,-4.83805,T2M,1989,    5.02,    7.14,   11.11,   10.31,   17.94,   22.82,   28.29,   26.60,   20.30,   16.31,   11.01,    8.87,   15.54
39.32624,-4.83805,T2M,1990,    4.38,    9.15,    9.94,   10.36,   17.26,   22.96,   27.74,   27.00,   22.59,   14.53,    8.25,    4.08,   14.89
39.32624,-4.83805,T2M,1991,    4.09,    4.74,    9.29,   11.21,   15.94,   23.55,   27.25,   27.36,   22.08,   12.03,    8.18,    5.33,   14.31
39.32624,-4.83805,T2M,1992,    2.72,    5.93,    9.83,   13.11,   18.46,   17.37,   25.72,   25.45,   21.02,   12.10,   10.12,    6.01,   14.02
39.32624,-4.83805,T2M,1993,    4.53,    5.94,    9.75,   10.93,   14.76,   20.60,   25.85,   25.12,   18.07,   11.17,    7.64,    5.93,   13.41
39.32624,-4.83805,T2M,1994,    4.60,    6.13,   12.00,   11.58,   16.82,   22.97,   27.64,   26.48,   18.70,   15.51,   11.10,    6.72,   15.08
39.32624,-4.83805,T2M,1995,    5.49,    8.15,   10.29,   13.66,   19.12,   23.01,   26.36,   25.97,   18.40,   17.34,   11.31,    7.75,   15.62
39.32624,-4.83805,T2M,1996,    6.96,    4.71,    8.29,   12.39,   15.13,   22.62,   25.84,   23.96,   18.16,   14.25,    9.41,    6.55,   14.06
39.32624,-4.83805,T2M,1997,    5.19,    8.39,   12.18,   14.58,   16.02,   18.85,   23.63,   24.95,   22.08,   16.15,    9.80,    6.67,   14.91
39.32624,-4.83805,T2M,1998,    5.43,    8.55,   11.07,    9.98,   14.89,   21.41,   26.56,   27.24,   20.89,   14.05,    9.32,    5.04,   14.58
39.32624,-4.83805,T2M,1999,    4.48,    5.85,    9.75,   13.46,   18.04,   23.77,   27.17,   25.64,   20.28,   14.65,    6.22,    5.67,   14.64
39.32624,-4.83805,T2M,2000,    3.24,    8.99,   10.55,   10.07,   17.38,   23.07,   25.17,   25.08,   21.87,   14.34,    8.06,    6.84,   14.57
39.32624,-4.83805,T2M,2001,    6.34,    6.82,   10.59,   11.93,   16.37,   23.56,   24.86,   26.20,   21.38,   15.85,    6.77,    4.00,   14.61
39.32624,-4.83805,T2M,2002,    5.68,    7.01,   10.45,   12.88,   15.70,   24.01,   26.09,   24.84,   19.73,   15.16,    9.75,    7.64,   14.96
39.32624,-4.83805,T2M,2003,    4.44,    5.58,   10.91,   12.67,   18.77,   26.23,   26.40,   27.92,   21.87,   14.16,    9.31,    5.81,   15.40
39.32624,-4.83805,T2M,2004,    6.67,    7.09,    8.22,   11.52,   14.63,   24.97,   26.77,   24.98,   22.90,   15.58,    8.57,    5.48,   14.80
39.32624,-4.83805,T2M,2005,    4.41,    4.12,    9.68,   13.48,   19.00,   25.99,   27.39,   26.43,   20.87,   15.32,    7.72,    5.03,   15.02
39.32624,-4.83805,T2M,2006,    4.06,    5.51,    9.75,   14.33,   19.48,   24.02,   27.92,   25.77,   22.11,   16.44,   10.87,    4.76,   15.47
39.32624,-4.83805,T2M,2007,    4.96,    7.74,    8.31,   11.53,   15.83,   20.15,   25.11,   25.00,   21.66,   14.55,    8.80,    5.41,   14.12
39.32624,-4.83805,T2M,2008,    6.85,    7.91,    9.37,   12.92,   14.74,   21.67,   24.97,   25.84,   20.28,   14.37,    6.60,    4.55,   14.19
39.32624,-4.83805,T2M,2009,    4.11,    6.53,   10.92,   11.58,   18.41,   23.81,   26.63,   27.31,   21.26,   17.31,   10.42,    6.22,   15.43
39.32624,-4.83805,T2M,2010,    4.51,    5.52,    7.94,   12.66,   14.75,   21.44,   27.79,   27.43,   21.48,   13.87,    7.69,    5.88,   14.30
39.32624,-4.83805,T2M,2011,    5.18,    7.00,    8.52,   14.82,   18.49,   22.36,   25.68,   26.27,   22.35,   17.62,   10.15,    5.85,   15.40
39.32624,-4.83805,T2M,2012,    5.23,    4.05,   10.23,   10.71,   18.80,   24.03,   26.38,   26.61,   21.20,   14.76,    9.02,    5.81,   14.78
39.32624,-4.83805,T2M,2013,    5.15,    5.29,    7.97,   11.21,   14.37,   20.96,   27.27,   27.11,   22.64,   15.89,    7.59,    5.39,   14.30
39.32624,-4.83805,T2M,2014,    6.28,    6.10,    9.43,   15.05,   18.11,   22.18,   25.15,   25.44,   20.95,   17.15,   10.24,    5.29,   15.17
39.32624,-4.83805,T2M,2015,    4.54,    4.96,   10.42,   13.77,   19.91,   24.55,   29.26,   26.03,   20.54,   15.65,   10.95,    9.05,   15.87
39.32624,-4.83805,T2M,2016,    7.40,    7.05,    7.85,   11.44,   15.19,   22.74,   28.53,   27.70,   23.08,   16.83,    8.84,    7.03,   15.34
39.32624,-4.83805,T2M,2017,    4.15,    7.48,   10.07,   14.55,   19.32,   26.38,   27.02,   26.80,   21.83,   19.05,    9.86,    5.76,   16.07
39.32624,-4.83805,T2M,2018,    5.69,    5.10,    7.76,   11.68,   15.81,   21.41,   25.20,   28.38,   24.44,   15.67,    9.72,    7.44,   14.92
39.32624,-4.83805,T2M,2019,    5.10,    8.43,   11.17,   11.96,   19.19,   22.98,   27.55,   26.73,   21.65,   16.77,    9.19,    8.18,   15.79
39.32624,-4.83805,RH2M,1981,   72.26,   67.64,   65.87,   64.55,   55.28,   37.30,   28.79,   31.92,   41.22,   52.13,   53.81,   81.29,   54.29
39.32624,-4.83805,RH2M,1982,   86.03,   82.42,   68.52,   60.18,   49.78,   42.02,   32.88,   30.18,   47.31,   65.27,   78.54,   84.14,   60.47
39.32624,-4.83805,RH2M,1983,   73.26,   74.41,   61.23,   60.59,   56.64,   37.80,   28.56,   37.64,   37.74,   47.76,   85.31,   82.66,   56.84
39.32624,-4.83805,RH2M,1984,   86.71,   74.44,   74.06,   68.71,   70.26,   54.60,   31.24,   30.86,   36.27,   55.55,   83.29,   83.07,   62.37
39.32624,-4.83805,RH2M,1985,   82.02,   83.23,   69.85,   64.37,   59.92,   47.79,   28.59,   22.94,   31.50,   40.95,   71.79,   78.96,   56.64
39.32624,-4.83805,RH2M,1986,   82.79,   84.55,   70.43,   67.43,   48.99,   36.18,   24.04,   26.12,   53.27,   63.97,   70.61,   76.69,   58.57
39.32624,-4.83805,RH2M,1987,   78.66,   80.31,   64.83,   62.97,   46.88,   34.32,   44.37,   35.93,   42.00,   73.05,   79.72,   89.53,   60.96
39.32624,-4.83805,RH2M,1988,   90.39,   77.94,   66.91,   69.56,   63.54,   58.13,   42.56,   24.40,   28.48,   60.95,   75.64,   75.32,   61.09
39.32624,-4.83805,RH2M,1989,   73.73,   69.39,   57.45,   65.44,   48.41,   39.07,   25.13,   28.81,   46.38,   55.43,   79.99,   90.88,   56.56
39.32624,-4.83805,RH2M,1990,   85.22,   79.56,   68.17,   66.96,   52.20,   37.10,   27.57,   27.71,   42.79,   66.35,   74.27,   79.99,   58.86
39.32624,-4.83805,RH2M,1991,   76.13,   77.33,   75.30,   56.93,   41.35,   35.85,   25.38,   27.33,   43.34,   67.03,   72.13,   79.14,   56.31
39.32624,-4.83805,RH2M,1992,   75.79,   66.30,   57.81,   52.26,   48.08,   54.27,   33.80,   32.38,   35.26,   70.03,   72.48,   82.49,   56.73
39.32624,-4.83805,RH2M,1993,   66.33,   67.25,   56.97,   57.45,   57.72,   49.37,   29.83,   31.34,   48.35,   73.27,   80.10,   85.71,   58.57
39.32624,-4.83805,RH2M,1994,   80.42,   73.54,   58.49,   52.20,   53.31,   33.21,   22.31,   26.69,   42.36,   63.51,   71.56,   80.16,   54.71
39.32624,-4.83805,RH2M,1995,   80.15,   71.54,   56.57,   45.92,   42.43,   37.03,   28.68,   29.05,   43.85,   49.35,   74.66,   86.94,   53.74
39.32624,-4.83805,RH2M,1996,   90.94,   79.15,   76.34,   66.51,   65.51,   41.30,   29.90,   33.81,   53.55,   60.31,   72.86,   89.02,   63.23
39.32624,-4.83805,RH2M,1997,   90.75,   79.05,   60.99,   59.21,   59.07,   55.22,   41.90,   35.48,   46.26,   64.13,   88.12,   89.01,   64.00
39.32624,-4.83805,RH2M,1998,   89.00,   78.85,   67.10,   72.87,   67.01,   50.96,   30.66,   26.88,   49.00,   57.95,   70.15,   72.24,   60.91
39.32624,-4.83805,RH2M,1999,   72.85,   64.19,   61.18,   49.69,   48.38,   32.52,   28.70,   30.54,   49.38,   71.59,   77.24,   83.72,   55.80
39.32624,-4.83805,RH2M,2000,   75.22,   66.90,   56.66,   70.99,   60.78,   37.26,   29.36,   27.30,   36.87,   57.10,   80.50,   84.96,   56.94
39.32624,-4.83805,RH2M,2001,   90.30,   78.16,   84.07,   66.37,   59.81,   36.04,   30.43,   31.16,   41.82,   71.36,   74.55,   76.70,   61.67
39.32624,-4.83805,RH2M,2002,   83.19,   73.42,   68.93,   58.46,   51.15,   34.69,   27.69,   29.61,   52.08,   68.92,   81.19,   87.15,   59.63
39.32624,-4.83805,RH2M,2003,   81.19,   79.95,   67.92,   62.16,   46.85,   32.58,   26.13,   28.37,   39.63,   69.62,   85.83,   86.20,   58.74
39.32624,-4.83805,RH2M,2004,   85.67,   77.48,   74.10,   64.72,   63.17,   40.60,   26.28,   34.69,   32.76,   61.92,   72.03,   82.18,   59.61
39.32624,-4.83805,RH2M,2005,   66.68,   66.66,   62.24,   53.62,   40.47,   29.67,   24.59,   25.01,   35.44,   62.52,   76.52,   80.80,   51.93
39.32624,-4.83805,RH2M,2006,   81.12,   74.55,   73.62,   61.07,   46.45,   36.35,   25.11,   29.71,   43.85,   67.02,   85.02,   83.82,   58.87
39.32624,-4.83805,RH2M,2007,   84.08,   85.37,   68.46,   70.52,   61.95,   52.60,   33.95,   31.88,   47.86,   62.59,   57.70,   78.29,   61.12
39.32624,-4.83805,RH2M,2008,   80.28,   76.02,   64.42,   64.22,   65.48,   46.78,   30.99,   26.59,   46.18,   66.76,   76.81,   85.06,   60.74
39.32624,-4.83805,RH2M,2009,   86.95,   76.36,   62.73,   59.37,   45.05,   38.24,   22.93,   27.19,   44.93,   56.76,   74.68,   84.67,   56.52
39.32624,-4.83805,RH2M,2010,   88.49,   86.92,   78.72,   73.66,   63.74,   50.45,   30.87,   30.54,   46.61,   58.14,   79.30,   84.34,   64.15
39.32624,-4.83805,RH2M,2011,   86.19,   77.02,   77.90,   67.01,   59.51,   42.42,   29.07,   32.07,   36.48,   44.72,   76.93,   80.16,   59.01
39.32624,-4.83805,RH2M,2012,   75.99,   56.39,   51.72,   64.20,   48.19,   32.32,   24.84,   26.32,   42.04,   65.90,   85.48,   86.04,   54.93
39.32624,-4.83805,RH2M,2013,   86.32,   79.32,   84.49,   73.36,   61.66,   46.19,   27.92,   26.30,   40.50,   64.22,   71.84,   72.52,   61.11
39.32624,-4.83805,RH2M,2014,   85.23,   84.83,   67.09,   61.83,   44.10,   36.50,   31.34,   29.31,   54.22,   63.72,   82.45,   80.48,   59.90
39.32624,-4.83805,RH2M,2015,   75.47,   76.42,   63.33,   60.15,   39.71,   33.16,   22.49,   31.14,   41.35,   64.85,   67.41,   72.88,   53.89
39.32624,-4.83805,RH2M,2016,   87.35,   77.55,   68.50,   68.58,   62.61,   42.67,   27.92,   27.20,   34.01,   57.12,   78.69,   85.54,   59.76
39.32624,-4.83805,RH2M,2017,   81.12,   81.95,   71.18,   54.13,   49.23,   33.78,   27.13,   28.48,   32.70,   43.38,   61.68,   76.63,   53.30
39.32624,-4.83805,RH2M,2018,   82.05,   70.58,   82.47,   73.70,   63.81,   53.87,   34.91,   27.09,   41.34,   59.10,   81.35,   79.57,   62.42
39.32624,-4.83805,RH2M,2019,   74.67,   62.99,   55.99,   63.19,   43.19,   29.50,   28.31,   28.78,   46.32,   56.14,   83.01,   82.97,   54.51
