LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.11725,1.25462,T2M,1981,    7.25,    7.11,   12.11,   12.79,   15.84,   21.39,   22.37,   23.80,   21.17,   16.96,   13.42,    9.19,   15.33
41.11725,1.25462,T2M,1982,    9.01,    8.85,    9.99,   13.13,   16.23,   21.73,   25.22,   23.34,   20.86,   15.75,   11.49,    7.91,   15.33
41.11725,1.25462,T2M,1983,    7.71,    6.81,   10.72,   12.42,   16.13,   20.77,   24.97,   23.13,   21.64,   17.18,   13.45,    8.73,   15.36
41.11725,1.25462,T2M,1984,    7.27,    7.32,    8.38,   13.19,   13.52,   19.41,   23.98,   22.66,   19.79,   15.81,   12.63,    8.01,   14.35
41.11725,1.25462,T2M,1985,    3.92,    9.78,    9.31,   13.71,   14.78,   20.82,   24.72,   23.46,   22.55,   18.02,   10.19,    8.79,   15.03
41.11725,1.25462,T2M,1986,    7.23,    7.00,   10.54,   10.89,   18.05,   20.91,   23.74,   24.12,   21.52,   17.00,   12.40,    8.04,   15.17
41.11725,1.25462,T2M,1987,    6.23,    7.96,   10.24,   13.78,   15.93,   20.28,   23.98,   24.66,   23.40,   16.95,   11.04,    9.87,   15.40
41.11725,1.25462,T2M,1988,    9.09,    8.07,   10.80,   12.85,   16.87,   20.08,   23.97,   24.65,   21.46,   17.92,   11.99,    7.78,   15.49
41.11725,1.25462,T2M,1989,    8.10,    9.45,   11.92,   11.99,   17.46,   21.48,   25.00,   25.03,   20.23,   17.23,   13.08,   10.43,   15.99
41.11725,1.25462,T2M,1990,    8.11,   11.60,   11.75,   12.58,   18.01,   21.33,   24.83,   24.71,   22.25,   17.07,   10.89,    6.31,   15.81
41.11725,1.25462,T2M,1991,    7.29,    7.57,   11.73,   11.92,   15.10,   20.59,   24.67,   25.53,   22.23,   14.92,   10.66,    8.05,   15.07
41.11725,1.25462,T2M,1992,    6.01,    8.00,   10.77,   13.34,   17.43,   17.89,   23.35,   24.91,   20.45,   14.63,   12.65,    9.06,   14.90
41.11725,1.25462,T2M,1993,    7.45,    7.96,   10.40,   13.01,   16.71,   21.54,   22.84,   23.97,   19.66,   14.49,   10.63,    8.63,   14.81
41.11725,1.25462,T2M,1994,    7.53,    8.65,   12.73,   12.19,   17.62,   21.61,   25.84,   25.84,   20.12,   15.97,   13.46,    9.09,   15.94
41.11725,1.25462,T2M,1995,    7.48,   10.22,   10.57,   13.78,   17.20,   20.04,   24.59,   23.87,   19.30,   18.03,   12.83,    9.51,   15.65
41.11725,1.25462,T2M,1996,    9.55,    7.36,   10.22,   13.25,   16.46,   21.39,   23.47,   23.42,   19.06,   15.75,   11.61,    9.08,   15.08
41.11725,1.25462,T2M,1997,    7.78,   10.04,   13.01,   14.20,   17.16,   20.46,   22.55,   24.16,   21.38,   18.26,   12.19,    8.54,   15.84
41.11725,1.25462,T2M,1998,    8.43,    9.89,   11.81,   12.36,   16.72,   21.12,   24.36,   24.71,   20.86,   15.81,   10.43,    8.01,   15.41
41.11725,1.25462,T2M,1999,    7.84,    7.72,   10.98,   13.52,   17.79,   21.11,   24.16,   24.68,   21.52,   16.72,    9.32,    7.62,   15.30
41.11725,1.25462,T2M,2000,    6.36,   10.25,   11.45,   12.60,   18.18,   21.19,   22.96,   23.99,   20.98,   15.87,   10.47,    9.44,   15.33
41.11725,1.25462,T2M,2001,    8.37,    8.60,   13.18,   13.27,   17.30,   22.15,   23.27,   25.05,   19.96,   18.45,   10.13,    5.79,   15.51
41.11725,1.25462,T2M,2002,    7.93,    9.35,   11.65,   13.49,   15.91,   21.88,   23.47,   22.48,   20.11,   16.64,   12.18,    9.50,   15.42
41.11725,1.25462,T2M,2003,    6.75,    7.18,   11.26,   13.29,   17.72,   24.43,   25.50,   27.13,   20.60,   15.28,   12.15,    8.35,   15.85
41.11725,1.25462,T2M,2004,    8.27,    8.09,    9.43,   11.94,   15.68,   22.26,   23.33,   24.63,   21.20,   18.02,   10.58,    8.71,   15.20
41.11725,1.25462,T2M,2005,    6.57,    5.86,    9.63,   13.43,   17.89,   23.06,   24.87,   23.32,   20.67,   17.52,   11.16,    5.98,   15.05
41.11725,1.25462,T2M,2006,    6.97,    7.48,   11.13,   14.58,   18.42,   21.90,   26.39,   23.55,   21.43,   18.75,   13.95,    8.70,   16.16
41.11725,1.25462,T2M,2007,    8.55,    9.84,   10.73,   14.38,   17.88,   21.47,   23.69,   23.30,   20.90,   16.50,   10.39,    7.91,   15.49
41.11725,1.25462,T2M,2008,    8.93,    9.95,   10.81,   13.50,   16.07,   20.88,   23.70,   24.50,   20.55,   16.27,    9.90,    7.44,   15.23
41.11725,1.25462,T2M,2009,    6.91,    8.32,   10.91,   12.66,   18.51,   22.59,   24.67,   25.51,   21.45,   17.73,   12.76,    8.17,   15.89
41.11725,1.25462,T2M,2010,    6.22,    6.98,    9.07,   13.42,   16.18,   20.58,   25.52,   24.25,   20.88,   15.70,   10.22,    7.20,   14.73
41.11725,1.25462,T2M,2011,    7.21,    9.03,   10.52,   15.59,   18.63,   20.95,   23.03,   24.84,   22.61,   18.27,   13.79,    8.86,   16.15
41.11725,1.25462,T2M,2012,    7.90,    5.48,   11.51,   12.47,   18.02,   22.76,   23.68,   25.73,   21.31,   17.11,   11.84,    8.39,   15.55
41.11725,1.25462,T2M,2013,    7.60,    7.24,   10.46,   12.98,   14.87,   19.96,   25.10,   24.27,   21.48,   18.90,   10.97,    8.31,   15.23
41.11725,1.25462,T2M,2014,    8.66,    8.75,   11.25,   14.93,   16.79,   21.78,   23.55,   23.79,   22.23,   18.98,   13.65,    8.19,   16.08
41.11725,1.25462,T2M,2015,    7.71,    7.06,   11.29,   14.22,   18.72,   22.85,   26.57,   24.12,   20.25,   16.57,   13.08,   11.10,   16.19
41.11725,1.25462,T2M,2016,    9.50,    9.43,   10.13,   13.19,   16.41,   21.49,   24.96,   24.68,   22.23,   17.75,   12.32,    9.98,   16.03
41.11725,1.25462,T2M,2017,    6.83,   10.35,   12.31,   14.26,   18.29,   23.83,   24.67,   25.02,   20.29,   18.32,   11.47,    7.61,   16.14
41.11725,1.25462,T2M,2018,    9.23,    6.76,   10.05,   13.96,   16.84,   21.76,   25.34,   25.48,   22.67,   16.76,   12.07,   10.00,   15.97
41.11725,1.25462,T2M,2019,    6.91,    9.91,   12.06,   12.86,   16.02,   21.30,   25.64,   25.17,   21.81,   18.29,   11.14,   10.66,   16.02
41.11725,1.25462,RH2M,1981,   74.79,   72.29,   70.72,   74.31,   66.87,   59.98,   62.94,   63.64,   72.79,   69.55,   71.63,   75.18,   69.53
