LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.95336,-3.47804,T2M,1981,    1.13,    1.22,    6.23,    6.99,    9.96,   16.43,   17.83,   18.72,   15.59,   10.35,    7.40,    3.09,    9.62
41.95336,-3.47804,T2M,1982,    3.10,    3.33,    4.52,    7.63,   11.94,   16.56,   19.97,   18.27,   14.69,    8.70,    4.67,    1.87,    9.64
41.95336,-3.47804,T2M,1983,    1.78,    0.72,    5.99,    6.11,    8.96,   16.76,   20.56,   17.12,   17.01,   11.54,    7.94,    2.82,    9.83
41.95336,-3.47804,T2M,1984,    1.53,    0.93,    2.02,    9.92,    6.73,   14.76,   20.00,   17.31,   14.11,    9.68,    5.40,    1.93,    8.71
41.95336,-3.47804,T2M,1985,   -1.81,    4.65,    3.00,    8.33,    9.95,   16.35,   20.70,   19.19,   18.58,   12.30,    3.60,    3.23,    9.86
41.95336,-3.47804,T2M,1986,    1.14,    1.54,    4.79,    3.81,   13.52,   16.92,   20.32,   18.91,   16.42,   11.23,    5.11,    2.11,    9.71
41.95336,-3.47804,T2M,1987,    0.49,    2.33,    5.80,    9.40,   11.34,   16.18,   18.54,   21.18,   19.21,    9.51,    5.05,    3.99,   10.29
41.95336,-3.47804,T2M,1988,    3.10,    2.30,    4.91,    7.37,   11.09,   13.59,   17.62,   19.30,   15.95,   10.64,    5.76,    1.41,    9.45
41.95336,-3.47804,T2M,1989,    1.56,    3.19,    6.75,    5.19,   13.64,   16.67,   21.10,   20.45,   14.57,   11.56,    6.96,    5.30,   10.64
41.95336,-3.47804,T2M,1990,    1.25,    5.83,    5.84,    6.10,   13.26,   17.28,   21.23,   20.67,   17.46,   10.19,    4.24,    0.08,   10.31
41.95336,-3.47804,T2M,1991,    0.37,    0.70,    5.38,    6.05,    9.66,   16.33,   20.25,   21.67,   16.91,    7.47,    4.21,    1.68,    9.28
41.95336,-3.47804,T2M,1992,   -0.65,    1.93,    4.80,    7.84,   13.64,   12.12,   20.27,   20.42,   15.27,    7.53,    6.74,    2.71,    9.41
41.95336,-3.47804,T2M,1993,    1.89,    1.44,    4.81,    6.53,   10.99,   16.04,   18.42,   19.70,   12.67,    7.01,    3.97,    3.33,    8.95
41.95336,-3.47804,T2M,1994,    1.59,    2.51,    7.87,    6.28,   11.90,   16.47,   22.22,   20.50,   12.83,   10.38,    6.91,    3.30,   10.29
41.95336,-3.47804,T2M,1995,    2.43,    4.38,    5.14,    8.50,   13.03,   16.32,   20.71,   19.16,   12.65,   12.44,    6.91,    3.11,   10.44
41.95336,-3.47804,T2M,1996,    3.06,    0.78,    4.39,    8.19,   10.82,   16.69,   19.07,   17.80,   13.20,    9.64,    5.36,    2.56,    9.33
41.95336,-3.47804,T2M,1997,    1.43,    5.29,    8.25,    9.76,   12.07,   13.99,   16.71,   19.40,   16.62,   11.86,    5.50,    2.53,   10.31
41.95336,-3.47804,T2M,1998,    2.38,    4.91,    6.76,    5.63,   10.74,   16.05,   18.72,   19.49,   14.94,    8.89,    4.31,    1.49,    9.56
41.95336,-3.47804,T2M,1999,    0.84,    1.45,    4.95,    7.53,   12.83,   16.12,   20.09,   19.20,   15.25,   10.24,    2.48,    1.90,    9.46
