LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.98044,-2.86157,T2M,1981,    3.08,    4.06,    9.60,   10.25,   13.88,   22.00,   23.06,   23.26,   20.09,   13.97,   10.18,    5.55,   13.30
39.98044,-2.86157,T2M,1982,    5.50,    5.66,    7.85,   11.15,   16.01,   20.80,   24.10,   23.57,   18.71,   12.06,    7.30,    3.67,   13.08
39.98044,-2.86157,T2M,1983,    4.05,    3.67,    9.46,    9.85,   13.61,   22.06,   24.85,   22.31,   21.78,   15.28,   10.52,    5.15,   13.60
39.98044,-2.86157,T2M,1984,    3.35,    4.02,    4.99,   12.64,   10.32,   18.88,   25.32,   22.72,   19.20,   13.11,    8.34,    4.65,   12.31
39.98044,-2.86157,T2M,1985,    1.29,    7.45,    6.00,   11.54,   13.13,   21.23,   25.30,   24.74,   22.75,   16.14,    7.31,    5.28,   13.54
39.98044,-2.86157,T2M,1986,    2.92,    4.37,    7.87,    7.32,   17.60,   21.54,   25.07,   23.83,   20.11,   13.99,    7.89,    4.19,   13.12
39.98044,-2.86157,T2M,1987,    3.33,    4.98,    9.29,   12.48,   16.21,   21.57,   23.47,   25.11,   22.71,   12.64,    7.30,    6.41,   13.84
39.98044,-2.86157,T2M,1988,    5.31,    4.64,    8.02,   10.81,   14.30,   17.38,   23.10,   24.78,   20.23,   13.99,    8.45,    3.37,   12.90
39.98044,-2.86157,T2M,1989,    3.92,    6.06,    9.78,    8.95,   16.30,   20.68,   25.74,   25.22,   18.50,   14.39,    9.93,    7.91,   14.01
39.98044,-2.86157,T2M,1990,    3.61,    8.26,    8.95,    9.02,   16.04,   22.01,   25.67,   24.85,   21.05,   13.23,    7.06,    2.63,   13.56
39.98044,-2.86157,T2M,1991,    2.97,    3.50,    8.43,    9.94,   13.86,   21.85,   25.47,   26.15,   20.39,   10.70,    6.69,    4.15,   12.90
39.98044,-2.86157,T2M,1992,    1.77,    4.89,    8.14,   11.86,   16.95,   15.99,   23.96,   24.09,   19.83,   10.90,    8.87,    5.21,   12.73
39.98044,-2.86157,T2M,1993,    3.73,    4.68,    8.01,    9.70,   14.22,   19.93,   24.14,   24.06,   16.97,   10.06,    6.62,    4.41,   12.26
39.98044,-2.86157,T2M,1994,    3.38,    4.80,   10.83,    9.86,   16.19,   21.73,   26.95,   25.87,   17.56,   13.86,    9.83,    5.13,   13.90
39.98044,-2.86157,T2M,1995,    3.96,    7.20,    8.69,   12.07,   17.35,   21.42,   25.24,   23.70,   16.88,   15.58,   10.15,    6.49,   14.10
39.98044,-2.86157,T2M,1996,    5.76,    3.49,    7.51,   11.52,   14.46,   21.13,   23.83,   22.87,   16.60,   12.97,    8.06,    5.27,   12.82
39.98044,-2.86157,T2M,1997,    4.35,    7.22,   10.93,   13.06,   15.30,   18.41,   21.91,   22.94,   20.20,   14.89,    8.37,    4.64,   13.55
39.98044,-2.86157,T2M,1998,    4.32,    7.15,    9.82,    8.92,   13.71,   20.65,   24.72,   24.62,   19.24,   12.44,    7.44,    3.84,   13.11
39.98044,-2.86157,T2M,1999,    3.42,    4.36,    8.19,   11.79,   17.28,   22.00,   25.91,   24.97,   18.60,   13.59,    5.43,    4.43,   13.39
39.98044,-2.86157,T2M,2000,    2.13,    7.61,    9.32,    9.10,   16.78,   21.98,   23.87,   24.14,   20.40,   13.08,    6.72,    5.56,   13.41
39.98044,-2.86157,T2M,2001,    5.18,    5.42,   10.12,   11.68,   15.30,   22.84,   24.17,   25.35,   19.74,   15.25,    5.62,    2.21,   13.62
39.98044,-2.86157,T2M,2002,    4.55,    6.01,    9.25,   11.80,   14.39,   22.75,   23.92,   23.12,   18.43,   13.61,    8.19,    6.52,   13.59
39.98044,-2.86157,T2M,2003,    3.28,    4.03,    9.43,   11.29,   17.02,   24.36,   25.69,   25.77,   19.83,   12.81,    8.40,    4.59,   13.93
39.98044,-2.86157,T2M,2004,    5.03,    5.53,    7.01,   10.01,   13.40,   22.59,   24.25,   23.66,   21.30,   14.55,    7.35,    4.35,   13.27
39.98044,-2.86157,T2M,2005,    3.21,    2.54,    8.31,   12.01,   17.82,   24.49,   26.07,   24.79,   18.73,   14.45,    6.59,    3.64,   13.62
39.98044,-2.86157,T2M,2006,    2.71,    4.23,    9.05,   13.44,   18.39,   21.96,   26.47,   23.75,   20.36,   15.90,   10.04,    4.21,   14.27
