LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.48855,-1.1023,T2M,1981,    4.33,    4.86,   10.95,   10.84,   15.04,   22.10,   22.82,   22.98,   20.78,   15.14,   11.02,    6.48,   13.99
39.48855,-1.1023,T2M,1982,    6.70,    6.60,    8.71,   11.65,   16.22,   22.11,   25.60,   23.69,   19.10,   13.47,    8.48,    4.86,   13.98
39.48855,-1.1023,T2M,1983,    5.61,    4.52,   10.07,   11.12,   15.53,   21.89,   25.75,   22.38,   21.87,   15.69,   11.11,    6.12,   14.36
39.48855,-1.1023,T2M,1984,    4.62,    5.22,    5.87,   12.55,   11.54,   19.61,   25.73,   22.41,   19.52,   13.47,    9.47,    5.48,   12.97
39.48855,-1.1023,T2M,1985,    2.37,    8.10,    7.09,   12.68,   13.80,   21.58,   25.12,   24.65,   21.86,   15.92,    8.18,    6.08,   13.98
39.48855,-1.1023,T2M,1986,    4.21,    5.07,    8.71,    8.72,   18.24,   21.52,   24.65,   24.53,   20.61,   14.21,    9.09,    4.99,   13.77
39.48855,-1.1023,T2M,1987,    4.36,    6.02,    9.76,   13.20,   16.60,   21.62,   23.65,   24.79,   22.80,   13.86,    8.21,    7.26,   14.39
39.48855,-1.1023,T2M,1988,    6.50,    5.52,    9.39,   11.86,   15.60,   18.42,   23.87,   25.12,   20.22,   14.93,    9.15,    4.67,   13.80
39.48855,-1.1023,T2M,1989,    5.00,    7.04,   10.25,    9.82,   16.48,   20.81,   25.73,   25.70,   18.54,   14.62,   10.40,    8.54,   14.47
39.48855,-1.1023,T2M,1990,    4.80,    9.55,    9.23,   10.02,   16.10,   22.12,   25.12,   24.44,   21.50,   13.95,    8.18,    3.86,   14.09
39.48855,-1.1023,T2M,1991,    4.07,    4.46,    9.21,   10.40,   13.88,   21.50,   25.27,   26.20,   20.88,   11.80,    7.75,    5.22,   13.44
39.48855,-1.1023,T2M,1992,    2.73,    5.47,    8.57,   12.66,   16.98,   16.53,   23.77,   24.67,   20.12,   12.07,   10.11,    6.15,   13.35
39.48855,-1.1023,T2M,1993,    4.85,    5.24,    8.45,   11.04,   15.26,   20.69,   23.73,   24.15,   17.76,   11.11,    7.45,    6.10,   13.04
39.48855,-1.1023,T2M,1994,    4.58,    6.04,   11.51,   10.94,   17.82,   21.83,   26.88,   26.42,   18.56,   14.19,   10.90,    6.33,   14.73
39.48855,-1.1023,T2M,1995,    5.06,    8.45,    9.20,   12.41,   17.72,   20.34,   25.15,   23.61,   17.60,   15.82,   10.76,    7.37,   14.50
39.48855,-1.1023,T2M,1996,    6.62,    4.68,    8.40,   12.45,   15.66,   21.23,   23.84,   23.23,   16.58,   13.84,    9.04,    5.89,   13.49
39.48855,-1.1023,T2M,1997,    5.39,    8.41,   11.11,   13.19,   16.16,   19.87,   22.02,   23.13,   20.06,   15.59,    9.33,    5.88,   14.21
39.48855,-1.1023,T2M,1998,    5.57,    7.69,   10.71,   10.54,   14.27,   21.42,   25.10,   24.40,   19.93,   13.51,    8.55,    4.93,   13.92
39.48855,-1.1023,T2M,1999,    4.77,    5.35,    8.72,   12.78,   18.43,   21.99,   25.38,   25.52,   19.35,   14.28,    6.67,    5.36,   14.11
39.48855,-1.1023,T2M,2000,    3.35,    9.03,   10.18,   10.47,   17.71,   22.29,   24.63,   24.57,   20.48,   13.96,    7.35,    6.44,   14.22
39.48855,-1.1023,T2M,2001,    6.08,    6.21,   11.67,   13.04,   16.06,   23.75,   24.58,   25.61,   19.67,   16.15,    6.77,    3.60,   14.49
39.48855,-1.1023,T2M,2002,    5.63,    7.23,    9.70,   12.28,   14.82,   22.24,   23.68,   22.92,   19.21,   14.29,    9.25,    7.08,   14.06
39.48855,-1.1023,T2M,2003,    4.12,    4.70,    9.54,   11.79,   17.11,   24.57,   26.20,   25.72,   19.76,   13.48,    9.29,    5.59,   14.38
39.48855,-1.1023,T2M,2004,    6.17,    6.62,    7.98,   10.70,   13.81,   22.49,   24.13,   24.50,   21.28,   15.55,    8.11,    5.26,   13.90
39.48855,-1.1023,T2M,2005,    3.91,    3.39,    8.76,   12.69,   18.47,   23.96,   26.14,   24.53,   18.85,   15.08,    7.50,    4.54,   14.05
39.48855,-1.1023,T2M,2006,    3.48,    4.89,   10.20,   14.00,   18.19,   21.35,   26.48,   24.00,   20.37,   16.79,   10.72,    5.42,   14.72
39.48855,-1.1023,T2M,2007,    5.55,    7.83,    8.42,   11.18,   16.50,   21.33,   24.96,   23.69,   19.57,   13.64,    7.71,    5.27,   13.84
39.48855,-1.1023,T2M,2008,    6.63,    7.46,    9.49,   13.07,   14.90,   19.73,   24.52,   24.44,   19.05,   13.79,    6.40,    4.54,   13.69
39.48855,-1.1023,T2M,2009,    4.10,    5.90,    9.25,   10.72,   17.78,   23.25,   26.16,   25.02,   18.98,   16.13,   10.61,    5.60,   14.51
39.48855,-1.1023,T2M,2010,    3.85,    4.94,    7.45,   12.07,   14.89,   19.88,   26.03,   24.33,   19.70,   13.32,    7.36,    4.73,   13.26
39.48855,-1.1023,T2M,2011,    4.66,    6.85,    8.08,   14.27,   17.10,   21.57,   24.54,   25.24,   21.09,   15.91,   10.32,    5.86,   14.66
39.48855,-1.1023,T2M,2012,    5.32,    2.95,    8.66,   11.02,   18.42,   24.05,   25.28,   26.85,   20.25,   14.53,    9.07,    5.85,   14.40
39.48855,-1.1023,T2M,2013,    5.28,    5.09,    8.49,   11.42,   14.07,   19.88,   24.90,   24.36,   20.20,   16.66,    7.86,    5.07,   13.66
39.48855,-1.1023,T2M,2014,    6.39,    6.36,    9.25,   15.59,   17.20,   21.88,   24.09,   25.08,   21.92,   17.37,   10.17,    5.52,   15.11
39.48855,-1.1023,T2M,2015,    4.98,    5.04,   10.25,   12.80,   19.23,   22.26,   27.82,   24.81,   18.59,   14.68,   10.52,    8.64,   15.04
39.48855,-1.1023,T2M,2016,    7.35,    7.23,    8.31,   12.25,   15.96,   22.68,   25.84,   24.61,   21.28,   16.44,    9.04,    7.11,   14.87
39.48855,-1.1023,T2M,2017,    4.17,    7.35,   10.25,   12.68,   17.73,   24.07,   25.47,   24.75,   19.85,   17.02,    9.24,    5.35,   14.87
39.48855,-1.1023,T2M,2018,    6.19,    4.57,    8.02,   11.81,   15.89,   21.14,   25.68,   25.50,   21.02,   14.14,    9.03,    7.61,   14.28
39.48855,-1.1023,T2M,2019,    4.74,    7.60,   10.29,   10.96,   16.61,   21.73,   25.87,   25.19,   20.11,   15.86,    8.48,    8.13,   14.68
