LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.34835,-6.96599,T2M,1981,    2.85,    3.09,    6.71,    7.25,    9.34,   17.23,   19.23,   20.57,   16.02,   10.31,    8.66,    4.49,   10.52
42.34835,-6.96599,T2M,1982,    4.14,    4.47,    5.51,    8.63,   11.49,   15.89,   19.23,   19.04,   16.19,    9.31,    5.53,    3.50,   10.28
42.34835,-6.96599,T2M,1983,    2.31,    2.07,    6.72,    5.64,    8.08,   15.79,   18.12,   17.22,   17.67,   12.20,    8.85,    4.59,    9.98
42.34835,-6.96599,T2M,1984,    3.27,    2.78,    3.21,   11.01,    7.21,   15.20,   19.31,   18.29,   15.04,   10.80,    6.16,    3.93,    9.70
42.34835,-6.96599,T2M,1985,    0.53,    4.76,    4.03,    8.45,   10.16,   15.01,   20.47,   18.59,   20.34,   12.98,    4.72,    4.57,   10.41
42.34835,-6.96599,T2M,1986,    2.63,    2.94,    5.28,    4.27,   11.97,   16.00,   21.33,   18.06,   16.25,   12.40,    6.32,    3.59,   10.14
42.34835,-6.96599,T2M,1987,    2.14,    3.79,    6.78,    9.08,   11.93,   16.13,   19.88,   21.63,   19.23,    9.00,    6.34,    5.25,   10.97
42.34835,-6.96599,T2M,1988,    4.15,    3.29,    5.88,    7.59,   10.40,   13.81,   17.24,   19.13,   17.10,   11.29,    7.10,    2.81,   10.00
42.34835,-6.96599,T2M,1989,    2.96,    4.31,    7.47,    6.14,   14.67,   17.37,   22.42,   20.70,   15.50,   12.86,    7.15,    6.07,   11.53
42.34835,-6.96599,T2M,1990,    2.48,    6.36,    6.58,    6.74,   13.45,   16.76,   22.25,   21.00,   17.74,   10.29,    5.27,    1.61,   10.91
42.34835,-6.96599,T2M,1991,    1.91,    1.92,    5.89,    6.91,   11.57,   16.23,   20.17,   21.71,   17.23,    8.44,    5.71,    3.88,   10.18
42.34835,-6.96599,T2M,1992,    0.69,    3.25,    6.45,    8.34,   13.92,   12.98,   21.05,   19.48,   14.60,    8.26,    7.94,    3.72,   10.08
42.34835,-6.96599,T2M,1993,    3.56,    2.78,    5.79,    6.89,   10.19,   15.77,   18.41,   19.27,   12.51,    7.53,    5.09,    5.19,    9.46
42.34835,-6.96599,T2M,1994,    3.51,    3.21,    8.34,    6.93,   10.55,   16.51,   21.06,   19.64,   13.43,   11.35,    7.95,    5.01,   10.68
42.34835,-6.96599,T2M,1995,    4.03,    5.09,    6.34,    9.44,   13.23,   17.68,   20.30,   20.36,   13.49,   13.08,    7.69,    4.27,   11.29
42.34835,-6.96599,T2M,1996,    3.64,    2.22,    5.07,    8.87,   10.48,   17.37,   19.88,   17.70,   13.97,   10.38,    6.36,    3.53,    9.98
42.34835,-6.96599,T2M,1997,    2.17,    5.86,    9.87,   11.39,   11.47,   13.22,   18.38,   19.75,   17.61,   12.97,    6.65,    4.07,   11.15
42.34835,-6.96599,T2M,1998,    3.66,    5.41,    7.78,    5.78,   11.26,   15.83,   19.53,   22.00,   15.69,   10.31,    6.58,    2.70,   10.58
42.34835,-6.96599,T2M,1999,    2.47,    3.45,    6.03,    8.34,   12.11,   16.62,   21.19,   18.55,   14.83,    9.95,    4.19,    3.60,   10.16
42.34835,-6.96599,T2M,2000,    0.37,    5.87,    6.39,    5.87,   12.46,   17.23,   17.83,   18.27,   16.29,   10.03,    5.23,    4.48,   10.04
42.34835,-6.96599,T2M,2001,    3.63,    4.02,    7.09,    7.56,   11.84,   17.16,   17.66,   19.14,   15.19,   11.46,    4.14,    0.68,   10.00
42.34835,-6.96599,T2M,2002,    3.45,    4.25,    6.61,    8.72,   10.32,   17.09,   19.07,   18.20,   14.93,   11.09,    6.24,    4.98,   10.45
42.34835,-6.96599,T2M,2003,    2.08,    2.72,    6.99,    7.82,   12.09,   17.85,   19.07,   21.93,   16.79,    9.27,    6.63,    3.62,   10.62
42.34835,-6.96599,T2M,2004,    4.59,    3.47,    4.57,    7.27,   11.70,   20.00,   19.85,   18.15,   16.46,   10.41,    5.51,    2.94,   10.43
42.34835,-6.96599,T2M,2005,    2.27,    1.16,    5.88,    8.72,   13.13,   19.90,   20.70,   20.91,   16.21,   11.65,    5.01,    2.66,   10.74
42.34835,-6.96599,T2M,2006,    1.39,    2.36,    6.57,    9.48,   13.49,   18.56,   21.66,   19.07,   17.37,   12.10,    8.35,    3.08,   11.17
42.34835,-6.96599,T2M,2007,    3.43,    4.62,    5.42,    9.08,   11.43,   14.13,   17.71,   17.85,   16.36,   11.57,    5.97,    3.00,   10.08
42.34835,-6.96599,T2M,2008,    4.85,    5.34,    5.70,    8.68,   10.93,   16.50,   18.81,   18.98,   14.74,   10.43,    4.54,    2.86,   10.21
42.34835,-6.96599,T2M,2009,    2.17,    3.66,    7.14,    6.97,   13.22,   17.74,   18.49,   20.82,   17.04,   12.85,    6.91,    2.89,   10.87
42.34835,-6.96599,T2M,2010,    1.86,    2.08,    4.28,    9.31,   10.83,   15.63,   21.15,   20.93,   16.78,   10.17,    5.10,    2.04,   10.06
42.34835,-6.96599,T2M,2011,    2.76,    4.09,    5.52,   11.46,   14.01,   16.19,   17.72,   19.26,   17.31,   13.72,    6.97,    4.20,   11.14
