LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
38.75947,-3.38473,T2M,1981,    3.47,    4.98,   10.74,   10.63,   14.77,   23.18,   24.50,   24.59,   21.38,   15.50,   11.63,    6.48,   14.37
38.75947,-3.38473,T2M,1982,    6.03,    5.97,    8.71,   11.90,   16.94,   22.57,   24.96,   24.97,   20.29,   13.16,    8.19,    4.15,   14.03
38.75947,-3.38473,T2M,1983,    5.12,    4.17,   10.26,   10.99,   14.44,   23.40,   25.09,   23.55,   23.06,   16.74,   11.20,    5.73,   14.53
38.75947,-3.38473,T2M,1984,    4.15,    4.66,    5.76,   13.64,   11.12,   20.20,   26.85,   24.67,   21.27,   14.21,    9.25,    5.56,   13.46
38.75947,-3.38473,T2M,1985,    2.85,    8.33,    6.65,   12.56,   14.19,   22.44,   26.77,   26.17,   24.26,   17.56,    8.64,    6.46,   14.77
38.75947,-3.38473,T2M,1986,    3.78,    5.33,    8.47,    8.07,   18.61,   22.24,   26.49,   25.06,   21.37,   15.32,    9.28,    5.01,   14.14
38.75947,-3.38473,T2M,1987,    4.29,    5.98,   10.40,   13.58,   17.57,   22.97,   24.47,   25.98,   23.68,   13.61,    8.20,    7.40,   14.89
38.75947,-3.38473,T2M,1988,    6.02,    5.21,    8.92,   11.82,   15.39,   18.65,   25.26,   26.58,   22.04,   15.43,    9.60,    3.95,   14.10
38.75947,-3.38473,T2M,1989,    4.80,    6.87,   10.69,   10.09,   17.28,   22.07,   27.68,   26.56,   20.07,   15.64,   10.87,    8.63,   15.17
38.75947,-3.38473,T2M,1990,    4.24,    9.00,    9.97,    9.95,   16.86,   23.12,   26.90,   26.68,   22.73,   14.09,    8.05,    3.91,   14.66
38.75947,-3.38473,T2M,1991,    3.92,    4.35,    8.83,   10.88,   14.99,   23.02,   26.89,   27.32,   21.73,   11.84,    7.84,    4.97,   13.94
38.75947,-3.38473,T2M,1992,    2.60,    5.91,    9.02,   12.40,   17.68,   16.76,   24.72,   25.29,   21.10,   11.67,    9.55,    5.92,   13.58
38.75947,-3.38473,T2M,1993,    4.66,    5.40,    9.10,   10.56,   14.81,   20.89,   25.73,   25.37,   18.10,   11.17,    7.80,    5.17,   13.28
38.75947,-3.38473,T2M,1994,    4.02,    5.55,   11.65,   11.03,   17.21,   23.14,   28.12,   26.99,   18.85,   14.99,   10.90,    5.90,   14.93
38.75947,-3.38473,T2M,1995,    4.29,    8.18,    9.73,   12.95,   18.87,   22.44,   26.36,   25.30,   18.04,   16.70,   10.94,    7.45,   15.15
38.75947,-3.38473,T2M,1996,    6.57,    4.04,    7.91,   12.04,   14.84,   22.16,   25.09,   23.66,   17.49,   13.80,    8.81,    6.19,   13.59
38.75947,-3.38473,T2M,1997,    5.37,    7.92,   11.07,   13.59,   15.98,   19.18,   23.49,   24.40,   21.36,   15.91,    9.22,    6.06,   14.50
38.75947,-3.38473,T2M,1998,    5.04,    7.85,   10.52,    9.66,   14.35,   21.85,   26.32,   26.57,   20.72,   13.73,    9.00,    4.93,   14.25
38.75947,-3.38473,T2M,1999,    4.37,    5.10,    9.37,   13.18,   18.70,   23.73,   27.17,   26.22,   19.91,   14.87,    6.18,    5.22,   14.56
38.75947,-3.38473,T2M,2000,    3.11,    8.74,   10.28,    9.87,   17.52,   23.30,   25.58,   25.53,   21.71,   14.16,    7.75,    6.56,   14.53
