LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.46973,-0.37633,T2M,1981,    9.25,    9.33,   14.32,   14.01,   17.66,   22.32,   23.77,   24.47,   23.24,   19.39,   15.53,   12.07,   17.16
39.46973,-0.37633,T2M,1982,   11.14,   10.59,   12.06,   14.01,   17.49,   23.42,   26.62,   24.96,   22.16,   18.20,   13.50,   10.28,   17.08
39.46973,-0.37633,T2M,1983,   10.19,    9.11,   12.98,   14.65,   18.03,   21.96,   25.97,   24.43,   23.87,   19.62,   15.41,   11.31,   17.34
39.46973,-0.37633,T2M,1984,    9.96,    9.88,   10.16,   14.74,   15.16,   20.56,   25.27,   24.03,   22.09,   17.43,   14.35,   10.73,   16.21
39.46973,-0.37633,T2M,1985,    7.66,   11.92,   11.35,   15.31,   16.42,   22.33,   25.68,   25.28,   23.52,   19.55,   13.46,   11.07,   16.98
39.46973,-0.37633,T2M,1986,    9.69,    9.75,   12.12,   12.58,   19.23,   21.99,   25.07,   25.99,   23.17,   18.33,   14.26,   10.51,   16.94
39.46973,-0.37633,T2M,1987,    9.28,   10.22,   12.54,   15.19,   17.59,   22.21,   24.63,   25.65,   24.78,   18.49,   13.29,   11.96,   17.19
39.46973,-0.37633,T2M,1988,   11.11,   10.19,   12.84,   14.77,   18.19,   20.99,   24.83,   25.99,   22.69,   19.25,   14.34,   10.28,   17.15
39.46973,-0.37633,T2M,1989,    9.83,   11.32,   13.24,   13.61,   17.97,   22.29,   25.98,   26.94,   21.57,   18.45,   14.99,   12.88,   17.46
39.46973,-0.37633,T2M,1990,    9.98,   12.95,   12.63,   13.50,   18.13,   22.71,   25.56,   25.63,   23.94,   18.60,   13.47,    9.44,   17.24
39.46973,-0.37633,T2M,1991,    9.37,    9.15,   12.64,   13.30,   15.82,   21.70,   25.45,   26.44,   23.88,   16.48,   12.79,   10.16,   16.48
39.46973,-0.37633,T2M,1992,    8.18,    9.74,   11.81,   14.75,   18.38,   19.05,   24.02,   26.39,   22.13,   16.95,   14.84,   11.29,   16.48
39.46973,-0.37633,T2M,1993,    9.51,    9.57,   11.66,   14.64,   17.97,   22.33,   23.98,   25.36,   21.58,   16.19,   12.38,   11.14,   16.40
39.46973,-0.37633,T2M,1994,    9.78,   10.70,   13.73,   14.22,   19.40,   22.50,   26.70,   27.40,   21.87,   17.95,   15.53,   11.66,   17.67
39.46973,-0.37633,T2M,1995,   10.24,   12.46,   12.49,   14.90,   18.74,   21.02,   25.41,   25.19,   21.22,   19.19,   15.45,   12.29,   17.42
39.46973,-0.37633,T2M,1996,   11.36,    9.68,   11.85,   14.92,   17.83,   22.31,   24.54,   25.08,   20.58,   17.73,   14.11,   11.08,   16.78
39.46973,-0.37633,T2M,1997,    9.77,   12.06,   13.81,   15.48,   18.51,   22.23,   23.50,   25.30,   22.84,   19.99,   14.49,   11.38,   17.48
39.46973,-0.37633,T2M,1998,   10.57,   11.46,   13.59,   14.65,   17.00,   21.99,   25.52,   25.49,   23.16,   18.13,   13.77,   10.33,   17.17
39.46973,-0.37633,T2M,1999,   10.00,    9.97,   12.41,   15.80,   19.89,   22.47,   25.55,   26.66,   23.13,   18.41,   12.04,   10.61,   17.29
39.46973,-0.37633,T2M,2000,    8.75,   12.52,   13.28,   14.65,   19.14,   22.59,   25.13,   25.54,   22.92,   18.06,   12.69,   11.43,   17.24
39.46973,-0.37633,T2M,2001,   10.79,   10.60,   15.08,   15.38,   18.21,   23.77,   25.00,   26.14,   22.16,   20.19,   12.39,    9.51,   17.48
