LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.42744,-3.69999,T2M,1981,    3.27,    4.16,    9.67,   10.56,   14.05,   22.12,   23.49,   24.19,   20.72,   14.24,   10.34,    6.03,   13.62
40.42744,-3.69999,T2M,1982,    5.43,    5.66,    7.94,   11.36,   16.39,   20.95,   24.37,   24.36,   19.05,   12.36,    7.21,    3.90,   13.30
40.42744,-3.69999,T2M,1983,    3.70,    3.71,    9.65,    9.97,   13.29,   22.20,   25.44,   22.94,   21.94,   15.40,   10.72,    5.22,   13.73
40.42744,-3.69999,T2M,1984,    3.59,    4.10,    5.18,   13.06,   10.66,   19.22,   25.54,   23.37,   19.86,   13.49,    8.39,    4.63,   12.61
40.42744,-3.69999,T2M,1985,    1.76,    7.44,    6.29,   11.81,   13.95,   21.60,   26.57,   25.43,   23.68,   16.85,    7.43,    5.26,   14.04
40.42744,-3.69999,T2M,1986,    3.50,    4.88,    8.20,    7.80,   18.01,   22.45,   26.20,   24.25,   20.27,   14.54,    7.88,    4.49,   13.60
40.42744,-3.69999,T2M,1987,    3.33,    5.29,    9.54,   12.67,   16.37,   22.05,   24.07,   25.80,   23.38,   12.66,    7.52,    6.43,   14.14
40.42744,-3.69999,T2M,1988,    5.34,    4.78,    8.04,   10.85,   14.46,   17.49,   22.74,   25.17,   21.02,   14.44,    8.39,    3.37,   13.04
40.42744,-3.69999,T2M,1989,    3.79,    6.15,   10.21,    9.26,   17.10,   21.43,   26.50,   25.90,   18.84,   14.92,   10.11,    7.86,   14.40
40.42744,-3.69999,T2M,1990,    3.40,    8.00,    8.53,    9.05,   16.49,   22.41,   26.62,   25.54,   21.12,   13.63,    7.21,    2.61,   13.75
40.42744,-3.69999,T2M,1991,    2.87,    3.62,    8.39,    9.96,   14.14,   22.42,   26.09,   26.67,   21.07,   10.89,    6.93,    4.12,   13.15
40.42744,-3.69999,T2M,1992,    1.64,    4.92,    8.68,   12.21,   17.88,   16.59,   24.66,   24.71,   19.93,   11.22,    9.15,    5.15,   13.09
40.42744,-3.69999,T2M,1993,    3.43,    4.61,    8.29,   10.15,   14.52,   19.91,   24.20,   24.54,   17.55,   10.14,    6.46,    4.74,   12.43
40.42744,-3.69999,T2M,1994,    3.54,    5.01,   10.97,   10.32,   15.99,   21.76,   27.48,   26.09,   17.72,   14.21,    9.83,    5.28,   14.08
40.42744,-3.69999,T2M,1995,    4.55,    7.16,    8.84,   12.44,   17.78,   22.32,   25.66,   24.68,   17.41,   16.02,   10.27,    6.36,   14.51
40.42744,-3.69999,T2M,1996,    5.79,    3.76,    7.42,   11.54,   14.60,   21.64,   24.84,   23.53,   17.51,   13.38,    8.52,    5.55,   13.21
40.42744,-3.69999,T2M,1997,    4.22,    7.32,   11.03,   13.68,   15.69,   18.61,   22.47,   24.14,   21.28,   15.38,    8.34,    4.93,   13.96
40.42744,-3.69999,T2M,1998,    4.30,    7.20,    9.84,    9.12,   14.15,   20.54,   25.16,   25.36,   19.69,   12.74,    7.63,    3.88,   13.34
40.42744,-3.69999,T2M,1999,    3.32,    4.64,    8.40,   12.11,   17.08,   22.34,   26.57,   25.17,   19.48,   13.67,    5.27,    4.30,   13.59
40.42744,-3.69999,T2M,2000,    1.90,    7.68,    9.39,    9.35,   16.76,   21.95,   24.05,   24.46,   20.96,   13.49,    7.00,    5.63,   13.57
