LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
38.61361,-1.11576,T2M,1981,    4.87,    5.63,   11.89,   11.67,   15.97,   22.35,   23.06,   23.52,   21.43,   16.22,   11.63,    7.50,   14.69
38.61361,-1.11576,T2M,1982,    7.46,    7.36,    9.53,   12.39,   16.59,   22.82,   26.29,   24.30,   19.88,   14.46,    9.30,    5.54,   14.71
38.61361,-1.11576,T2M,1983,    6.17,    5.17,   10.80,   12.21,   16.43,   22.48,   26.17,   23.17,   22.39,   16.54,   11.81,    6.66,   15.06
38.61361,-1.11576,T2M,1984,    5.41,    6.00,    6.72,   13.21,   12.79,   20.32,   25.82,   22.87,   20.26,   14.30,   10.52,    6.34,   13.73
38.61361,-1.11576,T2M,1985,    3.31,    9.04,    7.91,   13.56,   14.65,   22.01,   25.38,   24.95,   22.16,   16.56,    9.24,    6.71,   14.65
38.61361,-1.11576,T2M,1986,    4.95,    5.99,    9.40,    9.69,   18.76,   21.75,   24.89,   25.28,   21.20,   14.99,    9.87,    5.74,   14.43
38.61361,-1.11576,T2M,1987,    5.16,    6.92,   10.65,   14.15,   17.28,   21.89,   24.23,   25.03,   23.26,   14.80,    8.97,    7.92,   15.07
38.61361,-1.11576,T2M,1988,    7.28,    6.29,   10.22,   12.83,   16.65,   19.31,   24.39,   25.43,   20.65,   15.80,   10.03,    5.22,   14.54
38.61361,-1.11576,T2M,1989,    5.58,    7.83,   10.77,   10.76,   16.95,   21.36,   25.79,   26.10,   19.38,   15.26,   11.27,    9.32,   15.08
38.61361,-1.11576,T2M,1990,    5.54,   10.16,    9.96,   10.83,   16.59,   22.52,   25.10,   24.65,   22.15,   14.81,    9.00,    4.65,   14.68
38.61361,-1.11576,T2M,1991,    4.69,    5.15,    9.88,   11.24,   14.58,   21.73,   25.47,   26.50,   21.60,   12.80,    8.66,    5.85,   14.06
38.61361,-1.11576,T2M,1992,    3.60,    6.21,    9.31,   13.29,   17.55,   17.38,   23.87,   24.99,   20.61,   13.00,   10.73,    6.91,   13.98
38.61361,-1.11576,T2M,1993,    5.34,    6.01,    9.04,   11.89,   16.03,   21.15,   23.89,   24.48,   18.67,   12.20,    8.37,    6.64,   13.69
38.61361,-1.11576,T2M,1994,    5.32,    6.85,   11.97,   11.81,   18.63,   22.08,   27.21,   27.10,   19.41,   15.15,   11.70,    7.07,   15.42
38.61361,-1.11576,T2M,1995,    5.84,    9.17,    9.93,   12.84,   18.30,   20.86,   25.45,   24.31,   18.51,   16.52,   11.54,    8.31,   15.17
38.61361,-1.11576,T2M,1996,    7.47,    5.42,    9.20,   13.14,   16.34,   21.64,   24.34,   23.92,   17.43,   14.53,    9.82,    6.75,   14.20
38.61361,-1.11576,T2M,1997,    6.40,    9.12,   11.60,   13.77,   17.08,   20.95,   22.51,   23.63,   20.72,   16.32,   10.17,    6.68,   14.94
38.61361,-1.11576,T2M,1998,    6.37,    8.38,   11.34,   11.58,   15.23,   22.07,   25.31,   24.73,   20.68,   14.28,    9.47,    5.60,   14.62
38.61361,-1.11576,T2M,1999,    5.45,    6.17,    9.57,   13.74,   19.09,   22.54,   25.55,   26.17,   20.32,   15.38,    7.56,    6.10,   14.86
38.61361,-1.11576,T2M,2000,    4.04,    9.64,   10.85,   11.51,   18.36,   22.60,   25.12,   25.03,   21.09,   14.67,    8.35,    7.32,   14.90
38.61361,-1.11576,T2M,2001,    6.74,    7.04,   12.62,   13.78,   16.84,   24.09,   24.93,   25.94,   20.29,   17.04,    7.68,    4.48,   15.17
38.61361,-1.11576,T2M,2002,    6.15,    7.90,   10.31,   12.90,   15.69,   22.55,   24.11,   23.60,   20.04,   15.21,   10.11,    7.92,   14.75
38.61361,-1.11576,T2M,2003,    4.82,    5.58,   10.19,   12.66,   17.72,   24.95,   26.72,   26.35,   20.76,   14.52,   10.07,    6.25,   15.10
38.61361,-1.11576,T2M,2004,    6.93,    7.37,    9.02,   11.47,   14.59,   22.98,   24.39,   25.05,   22.05,   16.44,    8.89,    6.03,   14.62
38.61361,-1.11576,T2M,2005,    4.47,    4.21,    9.43,   13.37,   19.03,   24.13,   26.52,   24.70,   19.48,   15.80,    8.40,    5.32,   14.64
38.61361,-1.11576,T2M,2006,    4.23,    5.78,   10.99,   14.68,   18.71,   21.90,   26.64,   24.48,   21.10,   17.58,   11.57,    6.16,   15.37
38.61361,-1.11576,T2M,2007,    6.22,    8.67,    9.31,   11.95,   17.53,   22.02,   25.22,   24.30,   20.19,   14.52,    8.51,    6.03,   14.58
38.61361,-1.11576,T2M,2008,    7.19,    8.19,   10.34,   13.84,   15.76,   20.66,   25.02,   24.96,   19.93,   14.71,    7.22,    5.22,   14.44
38.61361,-1.11576,T2M,2009,    4.95,    6.65,    9.90,   11.56,   18.12,   23.81,   26.65,   25.29,   19.57,   16.98,   11.45,    6.38,   15.16
38.61361,-1.11576,T2M,2010,    4.65,    5.79,    8.28,   12.75,   15.65,   20.40,   26.00,   24.55,   20.21,   14.06,    8.16,    5.41,   13.88
38.61361,-1.11576,T2M,2011,    5.38,    7.38,    8.94,   14.78,   17.62,   22.04,   24.93,   25.58,   21.52,   16.49,   11.04,    6.54,   15.23
38.61361,-1.11576,T2M,2012,    6.02,    3.62,    9.18,   11.98,   18.92,   24.67,   25.49,   27.43,   20.85,   15.32,    9.92,    6.67,   15.05
38.61361,-1.11576,T2M,2013,    5.98,    5.90,    9.42,   12.37,   15.12,   20.35,   24.87,   24.51,   20.61,   17.62,    8.62,    5.79,   14.32
38.61361,-1.11576,T2M,2014,    7.13,    7.28,   10.03,   16.33,   17.68,   22.27,   24.55,   25.51,   22.65,   18.01,   10.91,    6.23,   15.76
